City,All industry total (in thousands),  Private industries,"    Agriculture, forestry, fishing and hunting","    Mining, quarrying, and oil and gas extraction",    Utilities,    Construction,    Manufacturing,      Durable goods manufacturing,      Nondurable goods manufacturing,    Wholesale trade,    Retail trade,    Transportation and warehousing,    Information,"    Finance, insurance, real estate, rental, and leasing",      Finance and insurance,      Real estate and rental and leasing,    Professional and business services,"      Professional, scientific, and technical services",      Management of companies and enterprises,      Administrative and support and waste management and remediation services,"    Educational services, health care, and social assistance",      Educational services,      Health care and social assistance,"    Arts, entertainment, recreation, accommodation, and food services","      Arts, entertainment, and recreation",      Accommodation and food services,    Other services (except government and government enterprises),Government and government enterprises,Natural resources and mining,Trade,Transportation and utilities,Manufacturing and information,Private goods-producing industries 2/,Private services-providing industries 3/,Personal income (thousands of dollars),  Net earnings by place of residence,  Personal current transfer receipts,    Income maintenance benefits 1/,    Unemployment insurance compensation,    Retirement and other,"  Dividends, interest, and rent 2/",  Population (persons) 3/,  Per capita personal income 4/,  Per capita net earnings 4/,  Per capita personal current transfer receipts 4/,    Per capita income maintenance benefits 4/,    Per capita unemployment insurance compensation 4/,    Per capita retirement and other 4/,"  Per capita dividends, interest, and rent 4/",  Earnings by place of work,    Wages and salaries,    Supplements to wages and salaries,      Employer contributions for employee pension and insurance funds 5/,      Employer contributions for government social insurance,    Proprietors' income,      Farm proprietors' income,      Nonfarm proprietors' income,Total employment (number of jobs),  Wage and salary employment,  Proprietors employment,    Farm proprietors employment 6/,    Nonfarm proprietors employment,Average earnings per job (dollars),  Average wages and salaries,  Average nonfarm proprietors' income,Total MLB Teams,Total MLB Team Value (dollars thousands),Total team revenue (dollars thousands),Home Games MLB,Reg Season wins MLB,Home Wins MLB,World Series Title,Division Title MLB,Attendance MLB,Attendace per Game MLB,Payroll MLB (dollars),NFL Teams,NFL Team Value (Thousands,NFL Team Revenue,NFL Team Purchased,NFL Team relocated,NBA Team Numbers,NBA Team Value,NBA Team Revenue,Large Market,Medium Market,Small Market,No Teams,NFL Super Bowl Winner,NFL Division Champion,NFL Playoff Participants,NFL Win Percentage,NFL Wins,NFL Home Attendance,Average Attendance Per Game,Year
Tucson,30313722,24597468,49823,477613,214338,1647295,3403136,3211692,191444,799094,2238175,595190,968886,6603888,1849370,4754518,2846697,1659270,164726,1022701,2746269,174436,2571832,1246313,172318,1073994,760753,5716254,527436,3037269,809528,4372022,5577867,19019601,28399260,16767739,5061814,427323,43465,4591026,6569707,920298,30859,18220,5500,464,47,4989,7139,18920448,13812760,3119591,2110653,1008938,1988097,15762,1972335,473271,381507,91764,422,91342,39978,36206,21593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
Vegas,84933150,77653737,1392,57843,1381848,9616514,2689493,1947338,742156,3183153,6263505,2884221,2163301,17782207,5324470,12457737,8362153,4110512,1675056,2576586,3650645,237802,3412843,18104673,2632212,15472461,1512789,7279413,59235,9446658,4266069,4852794,12365242,65288495,65442479,45149609,6646820,622108,167781,5856931,13646050,1729522,37838,26105,3843,360,97,3386,7890,50644732,36432313,7846539,5447205,2399334,6365880,(L),6365839,1087078,903607,183471,192,183279,46588,40319,34733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2005
Virginia Beach,75959865,54835800,253533,11849,516623,(D),(D),(D),(D),(D),4984649,(D),(D),12651739,(D),(D),(D),(D),(D),(D),4498661,(D),(D),2529283,(D),(D),(D),21124065,265382,(D),(D),12512884,12475679,42360121,60026909,41098611,7259740,952414,105581,6201745,11668558,1684092,35643,24404,4311,566,63,3683,6929,45994378,32846374,8930133,6427002,2503131,4217871,91475,4126396,1027668,891777,135891,1556,134335,44756,36832,30717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
Atlanta,263617009,239872476,285864,488027,3044030,(D),(D),(D),(D),(D),15776256,(D),(D),48866317,(D),(D),35146217,(D),(D),(D),(D),(D),(D),(D),(D),(D),5166682,23744533,773892,(D),(D),55541571,38423437,201449038,198286961,145792283,18520589,2410463,323363,15786763,33974089,4931848,40205,29561,3755,489,66,3201,6889,163258265,116533442,23415391,15548934,7866457,23309432,72946,23236486,3134434,2480004,654430,7993,646437,52085,46989,35945,1,405000,172000,81,79,40,0,0,2550524,31487.95062,90156876,1,730000,170000,0,0,1,275000,92000,1,0,0,0,0,0,0,0.4375,7,563462,70432.75,2006
Austin,76721839,66862480,97416,732677,749908,4705678,13971532,12706986,1264547,6733429,4815831,995947,5385384,10475008,3742756,6732252,9218688,6576001,(D),(D),4277005,440143,3836862,2757632,463969,2293662,1946345,9859359,830093,11549260,1745855,19356917,19507303,47355177,58694122,42788696,4869960,538713,73497,4257750,11035466,1515485,38730,28234,3213,355,48,2809,7282,47839025,34526119,6835964,4638388,2197576,6476942,27939,6449003,981793,757912,223881,7424,216457,48726,45554,29793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
Boise,22236666,19562238,297599,48490,(D),1756134,3392733,(D),(D),(D),1979046,(D),562599,3750351,(D),(D),2749725,(D),(D),1018602,1803740,(D),(D),(D),(D),517638,448568,2674428,346089,(D),(D),3955332,5494957,14067281,19848409,13255835,2308082,200983,39037,2068062,4284492,570583,34786,23232,4045,352,68,3624,7509,15055930,10686518,2511961,1581872,930089,1857451,69732,1787719,367714,285578,82136,4733,77403,40945,37421,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
Boston,287293804,258963486,(D),105484,3896135,10849349,30820367,(D),(D),16564726,12662144,(D),16930646,67147231,29616001,37531230,49465629,34663311,6487568,8314750,30247147,7924489,22322658,9458305,2591384,6866920,5720819,28330319,(D),29226870,(D),47751013,(D),(D),233311504,158768021,25983436,3217814,799058,21966564,48560047,4427356,52698,35861,5869,727,180,4962,10968,190640488,140105908,28473539,18770511,9703028,22061041,9835,22051206,3051211,2505151,546060,2205,543855,62480,55927,40546,1,617000,206000,81,86,48,0,0,2930588,36180.09877,120099824,1,1176000,250000,0,0,1,367000,111000,0,1,0,0,0,1,1,0.75,12,550048,68756,2006
Charlotte,108416868,99646630,477996,151226,2363813,5810900,17746944,9602795,8144149,7883960,5701904,(D),5049013,28272603,19478658,8793944,12298406,(D),(D),3225607,5161343,(D),(D),(D),(D),(D),1803062,8770238,629222,13585864,(D),22795957,24187066,75459565,80185178,58242850,9598922,1082982,189836,8326104,12343406,2035838,39387,28609,4715,532,93,4090,6063,66673206,46458908,9769836,6392839,3376997,10444462,239043,10205419,1263361,1038149,225212,6183,219029,52774,44752,46594,0,0,0,0,0,0,0,0,0,0,0,1,936000,199000,0,0,1,277000,89000,0,0,1,0,0,0,0,0.5,8,588537,73567.125,2006
Chicago,493172475,446525835,336891,533071,(D),25505834,61601274,(D),(D),(D),27758443,(D),(D),111278955,53503068,57775886,(D),(D),(D),16556125,37055043,(D),(D),17410398,5291772,12118626,(D),46646640,869963,(D),(D),(D),87977071,358548764,404361337,279308456,44522297,5702816,1192169,37627312,80530584,9297749,43490,30040,4789,613,128,4047,8661,315677000,230944193,53227946,36849994,16377952,31504861,107853,31397008,5627599,4663511,964088,5774,958314,56094,49522,32763,2,763000,336000,162,156,85,0,0,6080629,37534.74691,197175166,1,945000,201000,0,0,1,461000,149000,1,0,0,0,0,1,1,0.8125,13,497786,62223.25,2006
Cleveland,100466320,89980223,(D),99913,1184140,3404949,17121015,(D),(D),7288884,5822528,(D),2866812,23194485,11873185,11321300,11488992,6057926,2509009,2922057,9706144,1357631,8348512,2863555,909044,1954510,2127003,10486097,(D),13111412,(D),19987827,(D),(D),79333377,51691364,12848599,1236346,218088,11394165,14793414,2099415,37788,24622,6120,589,104,5427,7046,62496813,46443782,11085289,7588878,3496411,4967742,24123,4943619,1309383,1103070,206313,2723,203590,47730,42104,24282,1,352000,150000,81,78,44,0,0,1997995,24666.60494,56031500,1,970000,206000,0,0,1,380000,115000,0,0,1,0,0,0,0,0.25,4,578672,72334,2006
DC,359835442,280517970,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),64869544,(D),(D),(D),(D),(D),(D),21262674,(D),(D),11880205,(D),(D),13647403,79317472,589540,26608863,(D),34593158,27280250,253237720,289483718,210829700,19535753,1970989,306153,17258611,59118265,5332180,54290,39539,3664,370,57,3237,11087,246926861,182938209,39413448,26640146,12773302,24575204,-77444,24652648,3810723,3132004,678719,8246,670473,64798,58409,36769,1,440000,145000,81,71,41,0,0,2153056,26580.93827,63143000,1,1423000,303000,0,0,1,334000,108000,1,0,0,0,0,0,0,0.3125,5,701049,87631.125,2006
Denver,128070013,114484200,(D),1674913,1201106,7111052,(D),(D),(D),(D),7363176,(D),(D),26368582,(D),(D),19067477,11464421,(D),(D),7906680,(D),(D),5190732,1397287,3793445,3092257,13585813,(D),(D),(D),(D),18562868,95921333,105443981,75865700,8903658,800658,153655,7949345,20674623,2374194,44413,31954,3750,337,65,3348,8708,85751222,62387358,12525691,8009338,4516353,10838173,-16269,10854442,1607028,1276718,330310,3647,326663,53360,48865,33228,1,298000,145000,81,76,44,0,0,2104362,25979.77778,41233000,1,975000,207000,0,0,1,309000,100000,0,1,0,0,0,0,0,0.5625,9,610782,76347.75,2006
Green Bay,13806327,12499959,212205,26182,464960,613631,2798263,922715,1875549,(D),792874,664334,(D),2559666,1252179,1307486,1090708,499284,(D),(D),1222357,(D),(D),(D),(D),289530,(D),1306369,238387,(D),1129294,(D),3650281,8849677,10730573,7494644,1281611,94980,49182,1137449,1954318,298702,35924,25091,4291,318,165,3808,6543,8950330,6561900,1715756,1214425,501331,672674,54657,618017,206832,175142,31690,2843,28847,43273,37466,21424,0,0,0,0,0,0,0,0,0,0,0,1,911000,194000,0,0,0,0,0,0,0,1,0,0,0,0,0.5,8,565749,70718.625,2006
Houston,297212051,273855061,366255,20942982,(D),17651145,63214171,20038303,43175868,22646979,14280290,(D),7081749,39261481,13971731,25289750,(D),(D),(D),(D),15034596,2210112,12824483,8508890,1520044,6988846,5775741,23356990,21309237,36927269,(D),70295921,102174553,171680508,226112233,169905048,20741168,2798653,286611,17655904,35466017,5423615,41690,31327,3824,516,53,3255,6539,189461936,125773170,24910060,16703802,8206258,38778706,103753,38674953,3209343,2531563,677780,12541,665239,59034,49682,58137,1,416000,173000,81,82,44,0,0,3022763,37318.06173,100894435,1,1043000,222000,0,0,1,439000,142000,0,1,0,0,0,0,0,0.375,6,561469,70183.625,2006
LA,704088445,639198546,744913,2573805,4605242,31458007,76268223,45369997,30898226,48609738,47116393,18265116,66041015,161538065,43639784,117898282,87627041,54289117,10501003,22836921,42519285,7034210,35485075,35064129,17120890,17943238,16767574,64889899,3318718,95726131,22870358,142309238,111044948,528153598,544140051,368823106,65837148,10258805,1303658,54274685,109479797,12670216,42946,29109,5196,810,103,4284,8641,434259359,297452674,68467505,46259755,22207750,68339180,144802,68194378,7603489,5968376,1635113,1552,1633561,57113,49838,41746,2,850000,356000,162,177,94,0,0,7165335,44230.46296,201919187,0,0,0,0,0,2,853000,262000,1,0,0,0,0,0,0,0,0,0,0,2006
Louisville,50717801,45627011,(D),89754,(D),2320298,9687382,(D),(D),(D),3016256,(D),(D),8450576,4369852,4080725,4637307,(D),(D),(D),(D),(D),(D),(D),(D),(D),1162564,5090789,(D),(D),(D),(D),(D),(D),41836825,27529483,6257858,585731,137099,5535028,8049484,1154352,36243,23848,5421,507,119,4795,6973,31847965,23552846,5550570,3803623,1746947,2744549,20604,2723945,729842,610177,119665,6444,113221,43637,38600,24059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
Milwaukee,77618804,70732746,(D),97406,712159,3075171,14738068,(D),(D),5700345,4243724,(D),3071438,15935628,7068034,8867594,9018401,4532771,2292359,2193271,7913960,1314616,6599344,2268528,819917,1448610,1765106,6886058,(D),9944069,(D),17809506,(D),(D),63758963,42863255,8376422,1085141,204784,7086497,12519286,1523907,41839,28127,5497,712,134,4650,8215,51101267,37381317,9179659,6347383,2832276,4540291,22031,4518260,1019482,877216,142266,1772,140494,50125,42614,32160,1,235000,131000,81,75,48,0,0,2211023,27296.58025,57970333,0,0,0,0,0,1,260000,87000,0,0,1,0,0,0,0,0,0,0,0,2006
Minneapolis,177231818,159969264,368756,136980,(D),9043844,25664199,(D),(D),(D),9731395,(D),7484141,37888223,18679357,19208866,24945067,(D),(D),(D),13604840,(D),(D),5649848,1696330,3953518,4148922,17262554,505736,(D),(D),33148340,35213779,124755484,143940676,100274741,14848968,1172914,392403,13283651,28816967,3219203,44713,31149,4613,364,122,4126,8952,115550889,86966793,18669357,12017763,6651594,9914739,141500,9773239,2271775,1878734,393041,11587,381454,50864,46290,25621,1,216000,114000,81,96,54,0,1,2285018,28210.09877,63396006,1,720000,167000,0,0,1,308000,103000,0,1,0,0,0,0,0,0.375,6,509743,63717.875,2006
Nashville,74285945,67359410,87886,245587,198701,(D),(D),(D),(D),(D),6011964,(D),(D),10813799,(D),(D),(D),(D),(D),(D),8956260,(D),(D),(D),(D),(D),(D),6926535,333473,(D),(D),(D),14682981,52676429,58912013,43667401,7141825,747771,103771,6290283,8102787,1529238,38524,28555,4670,489,68,4113,5299,50025227,33449915,7053452,4714623,2338829,9521860,-57673,9579533,1047270,822582,224688,14229,210459,47767,40665,45517,0,0,0,0,0,0,0,0,0,0,0,1,886000,189000,0,0,0,0,0,0,0,1,0,0,0,0,0.5,8,553144,69143,2006
NYC,1156329371,1046964409,(D),384497,(D),38995520,66264033,(D),(D),(D),57074882,(D),83066332,368300496,200166635,168133860,164822562,105812217,(D),(D),90859718,15198106,75661613,38871581,14321729,24549852,24393846,109364962,(D),(D),(D),149330365,(D),(D),935138611,620379828,130215701,13997259,2647419,113571023,184543082,18538752,50442,33464,7024,755,143,6126,9954,719692750,525854169,110913392,75284107,35629285,82925189,77137,82848052,10720893,8670774,2050119,4800,2045319,67130,60647,40506,2,1630000,472000,162,194,100,0,2,7627602,47083.96296,296248042,2,1766000,261000,0,0,2,917000,278000,1,0,0,0,0,0,2,0.5625,18,1247485,77967.8125,2006
Providence,66728266,57545957,(D),35778,(D),3562903,7971852,5563450,2408403,3747760,4511972,1177906,2452083,14426850,4443203,9983647,6490638,3305271,1581387,1603979,7506666,1392119,6114547,2530682,562735,1967947,1723647,9182309,(D),8259733,(D),10423936,(D),(D),61905749,41242634,10585047,1101524,338838,9144685,10078068,1607583,38509,25655,6584,685,211,5688,6269,41795843,29501224,7501496,5159293,2342203,4793123,10633,4782490,889734,738660,151074,1215,149859,46976,39939,31913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
San Fran,302725214,272505334,(D),489587,(D),13768090,41295612,(D),(D),(D),18139457,(D),19215505,68920172,26904247,42015925,49097463,34263018,6303997,8530449,17890281,2610447,15279834,11233415,3417471,7815944,6442859,30219880,(D),(D),(D),60511117,(D),(D),251879007,169416438,21177515,2391102,487416,18298997,61285054,4148724,60712,40836,5105,576,117,4411,14772,190605759,131883423,28900764,19712015,9188749,29821572,55754,29765818,2728960,2119453,609507,1335,608172,69846,62225,48943,1,410000,171000,81,76,43,0,0,3130313,38645.83951,90056419,1,734000,171000,0,0,1,267000,89000,1,0,0,0,0,0,0,0.4375,7,545207,68150.875,2006
Seattle,207908789,184386207,759475,202334,549965,10201874,30903759,26621999,4281760,13330549,14018590,6855897,25348350,35360441,10946231,24414210,23443728,14689561,3066702,5687465,11647023,1165557,10481466,7572122,2146802,5425320,4192098,23522582,961809,27349140,7405861,56252109,42067442,142318765,156527917,106894872,14790443,1263471,390334,13136638,34842602,3257081,48058,32819,4541,388,120,4033,10697,125160278,89739694,20050119,11998317,8051802,15370465,20212,15350253,2169876,1786000,383876,3885,379991,57681,50246,40396,1,428000,179000,81,78,44,0,0,2481165,30631.66667,87959833,1,888000,189000,0,0,1,268000,81000,0,1,0,0,0,1,1,0.5625,9,543820,67977.5,2006
Tampa Bay,112796544,102066744,(D),205029,1695518,6920172,7300803,4862783,2438020,7699332,9627874,(D),5958535,26489313,8432020,18057293,15604196,8585597,1428685,5589913,9338517,749697,8588820,5445274,1211291,4233984,2761273,10729800,(D),17327206,(D),13259338,(D),(D),98534188,61641456,16215702,1345790,126932,14742980,20677030,2699935,36495,22831,6006,498,47,5460,7658,69482485,52201530,11206019,7518174,3687845,6074936,79695,5995241,1591049,1316137,274912,3630,271282,43671,39663,22100,1,209000,116000,81,61,41,0,0,1368950,16900.61728,34917967,1,955000,203000,0,0,0,0,0,0,1,0,0,0,0,0,0.25,4,524661,65582.625,2006
Tucson,32553217,26483261,44472,666037,234783,1815202,3416697,3183085,233612,942534,2442343,642632,1028839,6884715,1375065,5509650,3167807,1882934,175829,1109044,3006988,196514,2810474,1330361,194018,1136343,859851,6069956,710509,3384877,877416,4445536,5942408,20540853,31205288,18345489,5516504,443596,37035,5035873,7343295,940930,33164,19497,5863,471,39,5352,7804,20723826,15017219,3433442,2345194,1088248,2273165,10765,2262400,491400,397005,94395,374,94021,42173,37826,24063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
Vegas,91996799,84076767,7947,80261,1570698,10489070,2860163,2011541,848623,3412832,6567953,3086540,2105591,19946574,5297613,14648961,9096855,4433335,1831183,2832337,3998523,264194,3734329,19276698,3062214,16214484,1577062,7920032,88207,9980785,4657237,4965754,13437441,70639326,71249678,48659050,7180165,652303,180447,6347415,15410463,1803774,39500,26976,3981,362,100,3519,8543,54947519,39553562,8305533,5482023,2823510,7088424,1571,7086853,1145464,950664,194800,173,194627,47970,41606,36412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006
Virginia Beach,78790947,56256444,(D),(D),509599,(D),(D),(D),(D),(D),5147437,(D),(D),13165578,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1560645,22534503,252478,(D),(D),11896862,12038552,44217892,64022691,43169450,7881716,1013262,102834,6765620,12971525,1701595,37625,25370,4632,595,60,3976,7623,48424330,34870976,9007333,6326052,2681281,4546021,67164,4478857,1040751,898582,142169,1548,140621,46528,38807,31851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
Atlanta,271327784,246310003,(D),535991,3073864,(D),23262759,(D),(D),(D),15647941,(D),(D),49755695,(D),(D),37538916,(D),(D),10833240,16155917,(D),(D),(D),(D),(D),5303752,25017781,(D),(D),(D),(D),39251152,207058851,207321580,150069367,20128337,2498871,366086,17263380,37123876,5066356,40921,29621,3973,493,72,3407,7328,168137620,123772238,24249757,16170648,8079109,20115625,116626,19998999,3232964,2526901,706063,7716,698347,52007,48982,28638,1,458000,183000,81,84,44,0,0,2745207,33891.44444,87290833,1,796000,185000,0,0,1,286000,95000,1,0,0,0,0,0,0,0.5,8,547167,68395.875,2007
Austin,81470968,70848472,108220,755547,740164,5585634,12339123,11161403,1177721,7959721,4936801,(D),6337840,11200376,3702492,7497885,(D),7286078,(D),(D),4578183,484424,4093760,3031494,487260,2544234,2045478,10622496,863766,12896522,(D),18676963,18788524,52059948,62599379,45243036,5404395,550884,76479,4777032,11951948,1577856,39674,28674,3425,349,48,3028,7575,50626434,36921112,7155144,4790266,2364878,6550178,22053,6528125,1042215,796956,245259,7857,237402,48576,46328,27498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
Boise,22905225,20072152,379088,42445,(D),1891926,3016892,(D),(D),(D),2007157,(D),571652,4055630,(D),(D),(D),(D),(D),(D),1920046,(D),(D),671106,114970,556136,467819,2833073,421534,(D),(D),3588544,5330352,14741800,20808900,13769803,2546326,228153,54927,2263246,4492771,590330,35250,23326,4313,386,93,3834,7611,15610455,11186372,2617415,1666410,951005,1806668,125923,1680745,379138,291974,87164,4769,82395,41174,38313,20399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
Boston,303411599,273396687,(D),169959,3972347,10873837,34774922,25466582,9308340,17479341,12319583,(D),18087882,68966257,29765432,39200825,53492534,37265715,6839302,9387517,32435792,8574050,23861742,9753622,2661982,7091641,5875711,30014912,(D),29798925,(D),52862804,(D),(D),245689586,167143791,27148195,2681952,872283,23593960,51397600,4447838,55238,37579,6104,603,196,5305,11556,200739198,150023277,30175639,20065891,10109748,20540282,-1819,20542101,3131667,2547305,584362,2713,581649,64100,58895,35317,1,724000,234000,81,96,51,1,1,2970755,36675.98765,143026214,1,1199000,255000,0,0,1,391000,117000,0,1,0,0,0,1,1,1,16,550048,68756,2007
Charlotte,112259512,102756813,422907,175470,2412354,6371923,17478039,9234412,8243627,8241796,5894400,(D),5200299,28375799,18612711,9763089,13714997,(D),(D),3550682,5570879,(D),(D),(D),(D),(D),1920250,9502699,598377,14136196,(D),22678338,24448339,78308474,89841801,65823612,10414190,1118387,228854,9066949,13603999,2112817,42522,31154,4929,529,108,4291,6439,74894851,49390923,10337889,6741641,3596248,15166039,169830,14996209,1320238,1072459,247779,6705,241074,56728,46054,62206,0,0,0,0,0,0,0,0,0,0,0,1,956000,203000,0,0,1,287000,93000,0,0,1,0,0,0,0,0.4375,7,587221,73402.625,2007
Chicago,513447976,465978381,631737,513158,(D),25603409,65108559,(D),(D),(D),28410429,(D),(D),114804003,54715991,60088012,(D),(D),(D),18092486,38909197,(D),(D),19126593,5759562,13367031,(D),47469595,1144894,(D),(D),(D),91856862,374121519,428756707,291468084,49152813,5608380,1325734,42218699,88135810,9337140,45919,31216,5264,601,142,4522,9439,329465449,243687780,55091999,38224057,16867942,30685670,286481,30399189,5733881,4699154,1034727,6041,1028686,57459,51858,29551,2,973000,370000,162,157,82,0,1,5936857,36647.26543,210342165,1,984000,209000,0,0,1,500000,161000,1,0,0,0,0,0,0,0.4375,7,497267,62158.375,2007
Cleveland,103363200,92393951,(D),113148,(D),3402470,17668114,(D),(D),(D),5847137,2529817,3191229,23504706,11295609,12209097,12070507,6413944,2476437,3180126,9729753,1368988,8360764,3016943,1003906,2013037,2154467,10969249,(D),(D),(D),20859343,(D),(D),82878544,53400875,13603215,1314444,241501,12047270,15874454,2091596,39625,25531,6504,628,115,5760,7590,64392831,47868487,11246490,7707258,3539232,5277854,11825,5266029,1316266,1099008,217258,2605,214653,48921,43556,24533,1,364000,158000,80,96,51,0,1,2275912,28448.9,61673267,1,969000,206000,0,0,1,455000,152000,0,0,1,0,0,0,0,0.625,10,584006,73000.75,2007
DC,374588762,290952170,(D),(D),4732836,(D),(D),(D),(D),(D),(D),(D),(D),67174461,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14431096,83636591,662242,27175429,(D),34284667,27059552,263892618,303577818,218293407,21146470,2152068,345874,18648528,64137941,5386334,56361,40527,3926,400,64,3462,11908,256385762,192950498,41218155,27925699,13292456,22217109,-100935,22318044,3884536,3158607,725929,8416,717513,66002,61087,31105,1,447000,144000,81,73,40,0,0,1943812,23997.67901,36947500,1,1467000,312000,0,0,1,348000,112000,1,0,0,0,0,0,1,0.5625,9,704722,88090.25,2007
Denver,136539589,122582205,(D),2066620,(D),7066499,(D),(D),(D),10113311,7498684,(D),13361142,27950150,(D),(D),21338937,12979943,(D),(D),(D),(D),(D),5374372,1487058,3887314,3172273,13957384,(D),17611995,(D),(D),(D),(D),111442353,79029869,9536171,845325,161277,8529569,22876313,2418686,46076,32675,3943,349,67,3527,9458,89336132,66357996,12891677,8219732,4671945,10086459,-8069,10094528,1664565,1303580,360985,4381,356604,53669,50904,28307,1,317000,151000,82,90,51,0,0,2376250,28978.65854,54041000,1,994000,212000,0,0,1,321000,104000,0,1,0,0,0,0,0,0.4375,7,612893,76611.625,2007
Green Bay,14331406,12949943,313349,23465,469722,608011,2829815,972934,1856881,(D),745946,625698,(D),2805835,1407052,1398783,1151667,525379,(D),(D),1279997,(D),(D),535695,239544,296150,(D),1381463,336813,(D),1095420,(D),3774640,9175303,11274066,7799836,1396359,104740,51399,1240220,2077871,301190,37432,25897,4636,348,171,4118,6899,9288879,6830282,1786407,1271711,514696,672190,101009,571181,209193,176355,32838,2898,29940,44403,38730,19078,0,0,0,0,0,0,0,0,0,0,0,1,927000,197000,0,0,0,0,0,0,0,1,0,0,1,1,0.8125,13,566443,70805.375,2007
Houston,331049498,306077734,268816,24130853,6152189,20250900,76198283,(D),(D),25428839,14912516,(D),(D),40858795,13502952,27355843,41976401,(D),(D),(D),16000715,(D),(D),8905289,1598104,7307185,6299254,24971764,24399669,40341355,(D),(D),120848851,185228883,241788703,180424287,22766642,2844834,282856,19638952,38597774,5540882,43637,32562,4109,513,51,3544,6966,202010245,140144790,26139613,17279010,8860603,35725842,46628,35679214,3331799,2641314,690485,13249,677236,60631,53059,52684,1,442000,184000,81,73,42,0,0,3020405,37288.95062,87759000,1,1056000,225000,0,0,1,462000,149000,0,1,0,0,0,0,0,0.5,8,564159,70519.875,2007
LA,726060460,656577420,535774,3126289,4651878,30236221,77828082,46936617,30891465,51028997,45921666,18651284,71074852,164512600,42183280,122329320,92490610,57757127,10253049,24480434,44227980,7250576,36977405,35433426,17100119,18333307,16857760,69483040,3662063,96950663,23303162,148902934,111726365,544851054,562034002,376513171,69128559,10456791,1392092,57279676,116392272,12631988,44493,29806,5473,828,110,4534,9214,442994902,310597163,70449952,48311222,22138730,61947787,101250,61846537,7727181,5995065,1732116,1667,1730449,57329,51809,35740,2,1063000,398000,162,176,97,0,1,7222668,44584.37037,217705857,0,0,0,0,0,2,854000,268000,1,0,0,0,0,0,0,0,0,0,0,2007
Louisville,52060183,46853678,(D),97101,(D),2385410,9553947,(D),(D),(D),2991840,(D),(D),8907985,4417927,4490058,4988360,(D),(D),(D),4388877,(D),(D),(D),(D),(D),1174996,5206505,(D),(D),(D),(D),(D),(D),43594536,28528227,6721050,635740,143944,5941366,8345259,1169680,37270,24390,5746,544,123,5079,7135,33043854,24764923,5763190,3935825,1827365,2515741,14831,2500910,744101,616762,127339,6493,120846,44408,40153,20695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
Milwaukee,79937493,72705983,(D),91467,733166,3275335,14490701,(D),(D),5836670,4228823,(D),3152943,16790143,7547537,9242606,9705710,4888919,2417732,2399059,8206518,1409758,6796760,2309842,818824,1491018,1805323,7231509,(D),10065494,(D),17643644,(D),(D),66062184,44137001,8979224,1146812,231122,7601290,12945959,1530492,43164,28838,5867,749,151,4967,8459,52697236,38785193,9449854,6562199,2887655,4462189,24091,4438098,1032273,882151,150122,1772,148350,51050,43967,29916,1,287000,144000,81,83,51,0,0,2869144,35421.53086,70986500,0,0,0,0,0,1,264000,88000,0,0,1,0,0,0,0,0,0,0,0,2007
