City,All industry total (in thousands),  Private industries,"    Agriculture, forestry, fishing and hunting","    Mining, quarrying, and oil and gas extraction",    Utilities,    Construction,    Manufacturing,      Durable goods manufacturing,      Nondurable goods manufacturing,    Wholesale trade,    Retail trade,    Transportation and warehousing,    Information,"    Finance, insurance, real estate, rental, and leasing",      Finance and insurance,      Real estate and rental and leasing,    Professional and business services,"      Professional, scientific, and technical services",      Management of companies and enterprises,      Administrative and support and waste management and remediation services,"    Educational services, health care, and social assistance",      Educational services,      Health care and social assistance,"    Arts, entertainment, recreation, accommodation, and food services","      Arts, entertainment, and recreation",      Accommodation and food services,    Other services (except government and government enterprises),Government and government enterprises,Natural resources and mining,Trade,Transportation and utilities,Manufacturing and information,Private goods-producing industries 2/,Private services-providing industries 3/,Personal income (thousands of dollars),  Net earnings by place of residence,  Personal current transfer receipts,    Income maintenance benefits 1/,    Unemployment insurance compensation,    Retirement and other,"  Dividends, interest, and rent 2/",  Population (persons) 3/,  Per capita personal income 4/,  Per capita net earnings 4/,  Per capita personal current transfer receipts 4/,    Per capita income maintenance benefits 4/,    Per capita unemployment insurance compensation 4/,    Per capita retirement and other 4/,"  Per capita dividends, interest, and rent 4/",  Earnings by place of work,    Wages and salaries,    Supplements to wages and salaries,      Employer contributions for employee pension and insurance funds 5/,      Employer contributions for government social insurance,    Proprietors' income,      Farm proprietors' income,      Nonfarm proprietors' income,Total employment (number of jobs),  Wage and salary employment,  Proprietors employment,    Farm proprietors employment 6/,    Nonfarm proprietors employment,Average earnings per job (dollars),  Average wages and salaries,  Average nonfarm proprietors' income,Total MLB Teams,Total MLB Team Value (dollars thousands),Total team revenue (dollars thousands),Home Games MLB,Reg Season wins MLB,Home Wins MLB,World Series Title,Division Title MLB,Attendance MLB,Attendace per Game MLB,Payroll MLB (dollars),NFL Teams,NFL Team Value (Thousands,NFL Team Revenue,NFL Team Purchased,NFL Team relocated,NBA Team Numbers,NBA Team Value,NBA Team Revenue,Large Market,Medium Market,Small Market,No Teams,NFL Super Bowl Winner,NFL Division Champion,NFL Playoff Participants,NFL Win Percentage,NFL Wins,NFL Home Attendance,Average Attendance Per Game,Year
Houston,213096390,195476106,149614,11691318,(D),13241574,33647756,11349673,22298083,16525253,11628092,(D),6441587,30665754,10462930,20202824,26481021,18847065,874059,6759897,(D),(D),(D),6234761,1061991,5172770,4682780,17620284,11840932,28153345,(D),40089343,58730262,136745844,164800473,128256949,13860846,1644139,345233,11871474,22682678,4817815,34206,26621,2877,341,72,2464,4708,143137986,98616716,19089453,12654966,6434487,25431817,38818,25392999,2877532,2374437,503095,14697,488398,49743,41533,51992,1,318000,122200,81,93,44,0,1,2904277,35855.2716,60612667,0,0,0,0,0,1,234000,81000,0,1,0,0,0,0,0,0,0,0,0,2001
LA,525478527,472658079,403915,957128,3838822,16345667,64403901,38311541,26092360,36519462,35869229,13410626,53028215,113075231,30140511,82934720,67461648,40955220,9374866,17131562,30029521,4725609,25303912,23804223,10847198,12957026,13510491,52820449,1361043,72388691,17249448,117432116,82110611,390547468,410553386,284360584,50206105,8001502,1222909,40981694,75986697,12511491,32814,22728,4013,640,98,3276,6073,335499878,240401532,50912953,33807500,17105453,44185393,57538,44127855,7247391,5878470,1368921,1787,1367134,46293,40895,32278,2,579000,131300,162,161,83,0,0,2000919,12351.35185,47735167,0,0,0,0,0,2,573000,212000,1,0,0,0,0,0,0,0,0,0,0,2001
Louisville,40617881,36797414,125191,60015,417225,(D),(D),(D),(D),3519409,2569681,(D),(D),7172729,2984909,4187820,3493840,(D),(D),(D),3141938,(D),(D),1622173,(D),(D),1055173,3820466,185206,6089090,(D),9098292,9953306,26844109,34075905,22938849,4616636,377617,119465,4119554,6520420,1100423,30966,20845,4195,343,109,3744,5925,26640034,19918797,4494450,2988391,1506059,2226787,41962,2184825,705441,606806,98635,8182,90453,37764,32826,24154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2001
Milwaukee,63225412,57523237,(D),50707,637824,2419053,12663517,(D),(D),4565778,3734964,(D),1992304,13671581,5359633,8311948,6882758,3484401,1664763,1733593,5946078,914441,5031637,1726780,511863,1214917,1504302,5702175,(D),8300742,(D),14655821,(D),(D),53368842,36495788,6792309,807947,224466,5759896,10080745,1507257,35408,24213,4506,536,149,3821,6688,43156384,31906151,7517007,5098456,2418551,3733226,17176,3716050,1007270,893317,113953,2218,111735,42845,35716,33258,1,209000,69600,81,68,36,0,0,2811041,34704.20988,43886833,0,0,0,0,0,1,150000,65000,0,0,1,0,0,0,0,0,0,0,0,2001
Minneapolis,140080913,126361265,142252,66326,1565210,6826459,19198041,(D),(D),(D),8487483,(D),5606335,31137279,13692906,17444373,(D),(D),(D),(D),9397533,(D),(D),4461914,1203285,3258629,3629916,13719648,208577,(D),(D),24804376,26233078,100128187,116310993,84049821,10689690,832410,376216,9481064,21571482,3071250,37871,27367,3481,271,122,3087,7024,96458804,74015061,15228568,9831035,5397533,7215175,10034,7205141,2160572,1840718,319854,14372,305482,44645,40210,23586,1,99000,58000,81,85,47,0,0,1782929,22011.46914,24130000,1,346000,112000,0,0,1,185000,77000,0,1,0,0,0,0,0,0.3125,5,513344,64168,2001
Nashville,54992979,49909046,(D),112201,(D),(D),8328976,(D),(D),(D),4052088,(D),(D),9526243,(D),(D),5675143,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5083934,(D),(D),(D),(D),11168682,38740363,44653193,33096715,5101468,421055,132901,4547512,6455010,1386403,32208,23872,3680,304,96,3280,4656,38116283,25705620,5301140,3424682,1876458,7109523,-16989,7126512,943611,763252,180359,18617,161742,40394,33679,44061,0,0,0,0,0,0,0,0,0,0,0,1,536000,134000,0,0,0,0,0,0,0,1,0,0,0,0,0.4375,7,550393,68799.125,2001
New York City,952504867,863697753,317230,278758,(D),(D),(D),(D),(D),(D),47272448,(D),74633113,311408826,167853782,143555045,(D),83577409,(D),(D),67386591,10687512,56699079,28460020,8779872,19680148,19054986,88807114,595988,(D),(D),(D),96822991,766874762,781490771,540874000,102652513,10372606,2944059,89335848,137964258,18476764,42296,29273,5556,561,159,4835,7467,619947407,441449423,87114317,56819676,30294641,91383667,18440,91365227,10250875,8641958,1608917,5560,1603357,60478,51082,56984,2,1089000,354400,162,177,99,0,1,5923237,36563.19136,205961571,2,842000,241000,0,0,2,561000,230000,1,0,0,0,0,1,1,0.53125,17,1255793,78487.0625,2001
Providence,51591138,44412935,(D),23670,(D),2503186,7922081,5750812,2171269,3172488,3832716,849122,1692483,10184337,3489359,6694978,4374377,2366255,838069,1170052,5387597,988531,4399066,1996552,449675,1546877,1353297,7178203,(D),7005204,(D),9614563,(D),(D),50242360,33324575,8295457,712364,327961,7255132,8622328,1595424,31492,20888,5200,447,206,4547,5404,33386871,24082903,5530559,3654310,1876249,3773409,5447,3767962,855796,728727,127069,1373,125696,39013,33048,29977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2001
San Fran,240703042,216670319,240449,632134,1460810,10523278,26564770,(D),(D),(D),15476058,(D),16279462,55866881,21230197,34636684,42406878,27827264,7503673,7075941,12614412,1734368,10880044,9061483,2658766,6402718,5990433,24032724,872584,(D),(D),42844232,37960633,178709686,206977449,149860922,15963934,1854249,381268,13728417,41152593,4174788,49578,35897,3824,444,91,3288,9857,165912934,118583418,23105016,15130505,7974511,24224500,40137,24184363,2747283,2236572,510711,1618,509093,60392,53020,47505,1,333000,138800,81,90,49,0,0,3311958,40888.37037,63280187,1,419000,120000,0,0,1,166000,69000,1,0,0,0,0,0,1,0.75,12,539756,67469.5,2001
Seattle,160851663,143523970,374121,93707,448622,6816085,24242848,20823811,3419037,10771775,10789737,4984463,20245265,30041171,8192938,21848233,17246508,11027424,2076329,4142755,8820223,972044,7848179,5046288,1294101,3752187,3603159,17327693,467827,21561512,5433084,44488113,31526760,111997210,120906783,86625821,11941320,840012,771482,10329826,22339642,3092927,39091,28008,3861,272,249,3340,7223,101387844,74654662,15748309,9247212,6501097,10984873,18993,10965880,2040022,1722511,317511,4507,313004,49699,43341,35034,1,332000,138300,81,116,57,0,1,3507326,43300.32099,74720834,1,440000,110000,0,0,1,200000,80000,0,1,0,0,0,0,0,0.5625,9,482818,60352.25,2001
