,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,999150,505143.0,494007.0,61981,46520,62692,Bye,61819,67588,78299,62031,62309,62278,59839,69143,64121,69732,40577,62624,67597
1,Atlanta Falcons,1126660,545389.0,581271.0,67606,67313,68756,Bye,69732,68082,81521,70088,67982,73239,78491,67029,69560,68930,76866,68887,62578
2,Baltimore Ravens,1074077,568660.0,505417.0,71099,66882,70950,68756,71161,63689,Bye,71132,64313,69023,71320,71314,70286,70673,71011,64068,38400
3,Buffalo Bills,1080744,542465.0,538279.0,68756,70318,70261,65523,70526,76048,73497,69790,Bye,69143,47757,70155,51567,68668,70000,68887,69848
4,Carolina Panthers,1162625,586314.0,576311.0,73599,67313,90588,Bye,73487,62422,73497,62031,70011,73239,73475,76381,72455,68756,73515,78809,73047
5,Chicago Bears,1031114,498000.0,533114.0,70920,62231,67938,62192,Bye,68082,64900,62262,62309,69732,62421,63854,61892,62214,71011,62479,56677
6,Cincinnati Bengals,1035068,512032.0,523036.0,62831,70678,64538,69844,71161,64019,64900,Bye,64313,65392,34112,64553,62545,63854,68889,64333,79106
7,Cleveland Browns,1054215,551110.0,503105.0,70560,73931,70950,69844,70526,64398,69797,62262,Bye,69023,43170,64553,67978,69009,53315,67964,66935
8,Dallas Cowboys,1307231,718055.0,589176.0,63806,105121,90588,76440,71214,Bye,81521,80886,69144,70894,85277,83489,79244,90552,70213,88221,100621
9,Denver Broncos,1139659,600928.0,538731.0,62831,73931,45602,76440,76011,68615,Bye,71132,76716,85247,74707,74896,68912,67248,74502,69144,73725
10,Detroit Lions,931681,395162.0,536519.0,69719,56269,40896,62192,59333,70801,Bye,40857,67003,63854,43170,57383,62545,70673,40577,69732,56677
11,Green Bay Packers,1067183,565666.0,501517.0,70920,70678,60234,63846,Bye,70801,69797,71213,62994,70894,70445,57383,70286,62214,57452,70429,67597
12,Houston Texans,1049850,564864.0,484986.0,70118,69143,70083,70291,61819,64019,70820,69790,66033,Bye,71153,70990,42079,70380,46256,65847,71029
13,Indianapolis Colts,1066479,532398.0,534081.0,65757,66227,62692,66112,69143,Bye,60108,66229,66033,67476,71320,70990,66321,67248,63753,67222,69848
14,Jacksonville Jaguars,951161,397214.0,553947.0,65757,46520,70083,49014,67228,42088,Bye,69143,45546,76313,47757,69732,42079,60457,63753,68756,66935
15,Kansas City Chiefs,1049533,540114.0,509419.0,71099,69169,69144,69238,71214,79572,69337,Bye,45546,40720,70261,65280,68912,68668,53315,64333,73725
16,Miami Dolphins,1094695,540342.0,554353.0,67606,66227,67230,65523,69767,Bye,66689,77531,68756,66085,73475,70155,70102,60457,69143,65847,70102
17,Minnesota Vikings,1034123,510203.0,523920.0,70560,56269,63398,63846,60166,63689,65597,71213,Bye,63854,63854,63854,64121,63854,73515,62479,63854
18,New England Patriots,1138000,550048.0,587952.0,68756,78312,68756,68756,76011,68756,84254,Bye,68756,67476,68756,70768,70102,68756,70000,68756,71029
19,New Orleans Saints,1116009,560840.0,555169.0,69719,69144,70261,70009,Bye,70011,66689,70088,70011,59858,62720,70768,84520,68930,70213,70021,73047
20,New York Giants,1223927,629615.0,594312.0,78206,105121,63689,69238,79012,70011,78299,69144,78774,Bye,78491,74896,79244,78780,78359,78809,63854
21,New York Jets,1115944,616420.0,499524.0,70118,78312,75863,70009,69767,76048,39354,77531,Bye,76313,68756,76381,51567,62731,76866,67222,79106
22,Oakland Raiders,927539,354276.0,573263.0,61940,69169,45602,70291,79012,49642,39354,67016,Bye,40720,34112,83489,61820,44506,74502,67964,38400
23,Philadelphia Eagles,1144895,553152.0,591743.0,73599,69144,69144,Bye,69144,49642,88241,69144,69144,68879,62421,69144,69560,78780,69144,69144,100621
24,Pittsburgh Steelers,1051386,507882.0,543504.0,65110,62231,64538,64045,59333,64398,65597,Bye,76716,65392,70261,71314,61820,69009,57452,64068,70102
25,San Diego Chargers,1116821,540345.0,576476.0,61940,66882,67230,64045,Bye,68615,69337,67016,78774,68879,74707,65280,67978,90552,68889,69143,67554
26,San Francisco 49ers,1075599,557856.0,517743.0,61981,69732,63398,69732,69732,Bye,70820,66229,69732,69732,70445,69732,67761,69732,69144,69732,47965
27,Seattle Seahawks,1070287,539141.0,531146.0,67610,69732,67938,66112,67228,67588,Bye,80886,67003,62278,63854,47475,67761,70380,67011,70429,67002
28,St. Louis Rams,943627,441901.0,501726.0,67610,87780,60234,69732,60166,42088,60108,40857,Bye,59858,59839,47475,61892,69143,46256,62624,47965
29,Tampa Bay Buccaneers,1093669,525194.0,568475.0,63806,70318,63689,86412,69144,62422,84254,Bye,62994,66085,62720,67029,72455,62731,67011,70021,62578
30,Tennessee Titans,1086095,553144.0,532951.0,65110,69143,75863,49014,69143,68756,Bye,69143,69732,69143,71153,69143,66321,69143,69143,69143,67002
31,Washington Redskins,1205404,678352.0,527052.0,78206,87780,40896,86412,73487,79572,88241,Bye,67982,85247,85277,69144,84520,44506,78359,88221,67554
32,,17282225,,,1089618,1128770,1051862,951454,967743,915731,912414,877322,869313,1008133,1037758,1091586,1061163,1085633,1050006,1107679,1076040
