,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,838557,300267.0,538290.0,65538,51557,70534,28109,62836,Bye,35695,65887,72612,42297,72796,35820,62262,35069,40070,65825,31650
1,Atlanta Falcons,1133146,564769.0,568377.0,65584,70822,70534,73461,70434,70187,78260,75083,Bye,70810,78793,70521,65556,70616,70845,64900,66740
2,Baltimore Ravens,1123288,558594.0,564694.0,73068,69859,65575,69827,90287,Bye,69809,67715,69781,77826,69924,68756,69695,69856,57240,64227,69843
3,Buffalo Bills,1112531,574399.0,538132.0,72389,53610,Bye,72698,77976,72714,69809,65887,72574,68756,72393,66271,73084,72330,65378,63248,73414
4,Carolina Panthers,1132109,586259.0,545850.0,73656,78136,Bye,73461,75072,67707,73096,66214,73518,63618,72796,73124,58878,73306,70845,65380,73302
5,Chicago Bears,1037347,495706.0,541641.0,61535,70688,64163,61894,Bye,61945,65550,62054,78786,68932,61908,64026,62051,67572,62122,61924,62197
6,Cincinnati Bengals,1099386,524248.0,575138.0,77230,65705,65575,62402,Bye,73263,65806,68932,65721,87786,65780,65677,69695,68756,65378,64606,67074
7,Cleveland Browns,1141770,584840.0,556930.0,73068,63119,78521,73348,63609,73263,73394,Bye,69781,73703,72547,65677,73028,72330,72489,73169,70724
8,Dallas Cowboys,1086004,510892.0,575112.0,64105,63119,90367,Bye,64018,64162,70679,63616,65721,64190,69924,64026,68093,64056,67723,63705,78500
9,Denver Broncos,1140618,601031.0,539587.0,75939,69127,74533,65341,75072,62507,65806,75083,74292,Bye,64900,75936,65395,75027,77702,68809,75149
10,Detroit Lions,1043481,499162.0,544319.0,61535,61465,62472,Bye,70434,62938,78841,63616,62657,66431,64156,63107,62262,70497,62337,61924,68809
11,Green Bay Packers,1112569,564400.0,548169.0,73656,70688,57280,70623,70420,62938,70679,89295,Bye,70671,70769,70385,67723,70497,70437,64311,62197
12,Houston Texans,1110049,565192.0,544857.0,70255,61465,77433,70741,70718,68932,Bye,70502,74292,56511,70769,70721,77875,70762,62122,66227,70724
13,Indianapolis Colts,1016831,456791.0,560040.0,68756,68932,57280,73114,57230,Bye,56615,78312,57307,56511,61908,63107,57278,70762,57240,57330,75149
14,Jacksonville Jaguars,1051556,555464.0,496092.0,72389,69127,68932,73114,52101,66413,56615,70502,Bye,66431,69703,64004,76877,67572,70437,66227,41112
15,Kansas City Chiefs,1150728,623010.0,527718.0,75939,78136,77433,69827,Bye,66413,78260,78312,65495,64900,78431,77447,51292,68932,77702,77289,64920
16,Miami Dolphins,1143869,580808.0,563061.0,69987,65705,72225,73157,68756,72714,72945,78216,72612,Bye,66644,66156,73084,75027,73629,73169,69843
17,Minnesota Vikings,1045505,512969.0,532536.0,64105,67676,64163,Bye,70718,64900,64108,64012,57307,70671,64156,64004,62051,64110,62337,64311,76876
18,New England Patriots,1108210,550048.0,558162.0,68756,51557,Bye,72698,68756,68756,68756,64737,66107,68756,78431,68756,73028,68756,73629,77975,68756
19,New Orleans Saints,985096,513178.0,471918.0,64900,64900,65856,28109,64900,64900,45337,Bye,59662,64900,64900,70521,58878,64056,65075,64900,73302
20,New York Giants,1160690,629874.0,530816.0,67532,78767,78521,70623,64018,Bye,78841,64012,78786,42297,78793,78830,87872,69856,78836,64606,78500
21,New York Jets,1132803,623181.0,509622.0,77230,57310,Bye,73157,77976,78189,68756,78216,72574,77826,72547,35820,77875,63581,77894,77975,65877
22,Oakland Raiders,957623,405936.0,551687.0,60147,53610,60874,70741,57230,62507,45337,66210,73518,Bye,46905,75936,51292,70616,44299,77289,41112
23,Philadelphia Eagles,1102843,540870.0,561973.0,67532,67676,62472,61894,Bye,67707,73394,67715,64975,64190,67720,78830,67723,90089,67723,66129,67074
24,Pittsburgh Steelers,1082241,507385.0,574856.0,60147,69859,72225,62402,63609,64162,Bye,64737,64975,73703,65780,63707,76877,63581,78836,64227,73414
25,San Diego Chargers,1027704,485462.0,542242.0,70255,57310,74533,54006,52101,70187,73096,66210,59662,Bye,46905,77447,65395,65858,72489,57330,64920
26,San Francisco 49ers,1024975,518271.0,506704.0,65584,64900,66709,66696,62836,78189,Bye,62054,64423,63618,65234,66156,65793,35069,65710,63248,68756
27,Seattle Seahawks,1040347,533436.0,506911.0,64900,65089,66709,Bye,66940,68756,35695,66214,64423,66044,66644,66271,68093,64110,77894,65825,66740
28,St. Louis Rams,1060941,527384.0,533557.0,65538,70822,65856,66696,66940,66040,72945,Bye,66107,66044,72393,70385,65793,73306,40070,66129,65877
29,Tampa Bay Buccaneers,1046074,522720.0,523354.0,90098,65089,60874,65341,64900,66040,65550,Bye,65495,70810,65234,73124,65556,65858,65075,65380,31650
30,Tennessee Titans,1051732,551210.0,500522.0,69987,68932,68932,54006,70420,68932,64108,68932,Bye,68932,69703,70721,57278,68932,44299,68809,68809
31,Washington Redskins,1240229,702670.0,537559.0,90098,78767,90367,73348,90287,61945,Bye,89295,62657,87786,67720,63707,87872,90089,65710,63705,76876
32,,17270426,,,1120719,1056762,975474,915417,955297,948653,918891,980785,947910,942475,1088603,1074488,1082752,1090417,1051786,1065054,1054943
