,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,920848,401035.0,519813.0,78387,45160,64843,103467,38809,Bye,39482,62068,43542,61091,65750,39198,60439,46654,70024,44723,57211
1,Atlanta Falcons,1104620,565106.0,539514.0,70806,66030,72032,69552,71079,65562,70995,Bye,72187,71001,70794,62390,73661,70083,62170,65482,70796
2,Baltimore Ravens,1097015,563076.0,533939.0,70501,69149,Bye,70479,61201,70196,62102,64178,70540,66107,70601,65680,69909,75651,70604,70246,69871
3,Buffalo Bills,1090208,575248.0,514960.0,71781,64777,72032,58688,72160,72045,42779,68756,Bye,72093,65602,71440,72051,71810,71887,65485,76822
4,Carolina Panthers,1061837,587700.0,474137.0,72920,73528,72288,73657,38809,61083,Bye,73502,65014,73529,62156,71440,73661,73467,32551,73436,70796
5,Chicago Bears,1015156,496965.0,518191.0,90138,62019,62045,Bye,73079,62143,62102,61814,32637,62153,62156,65506,62177,61237,62170,69757,64023
6,Cincinnati Bengals,1069357,526469.0,542888.0,73013,65763,62045,65714,66137,69149,66104,65940,70540,Bye,65995,65680,63044,65788,61749,65485,77211
7,Cleveland Browns,1081072,578330.0,502742.0,73013,70400,57127,Bye,73079,70196,72923,70064,72594,63491,72773,63814,70941,65788,41862,73136,69871
8,Dallas Cowboys,1081038,505258.0,575780.0,67679,65207,68247,62400,63199,62278,67046,62068,Bye,67739,62670,63273,78645,63432,90588,73436,63131
9,Denver Broncos,1167388,608790.0,558598.0,72324,75310,76381,66045,75880,76571,78516,76530,Bye,62779,76255,63273,78261,75651,71887,76212,65513
10,Detroit Lions,1016559,492580.0,523979.0,61877,62019,Bye,64994,61201,61083,72923,61814,63813,61091,62670,62390,61375,70019,61749,63747,63794
11,Green Bay Packers,1099618,562419.0,537199.0,61877,70400,70518,73657,70580,Bye,64278,65940,70607,71001,70610,67665,62177,70019,70604,69757,69928
12,Houston Texans,1094938,562397.0,532541.0,71781,70742,Bye,65714,70430,66196,70621,70064,64613,57209,70481,70010,69909,69149,70024,70025,67970
13,Indianapolis Colts,1005498,457373.0,548125.0,70501,56460,57127,69149,68084,57307,70621,Bye,68756,57209,65995,57442,57228,67164,57389,67855,57211
14,Jacksonville Jaguars,1037856,525519.0,512337.0,65204,56460,77422,66045,66137,63891,Bye,65251,64613,66107,69149,39198,70941,67164,64764,70025,65485
15,Kansas City Chiefs,1180710,623325.0,557385.0,78014,62273,76381,78742,Bye,78083,68350,65750,79033,72093,70481,78025,78261,63432,78625,75956,77211
16,Miami Dolphins,1107797,575256.0,532541.0,72324,77918,72288,Bye,72160,65168,68350,61643,72187,73405,72773,49097,72051,65026,72650,72001,68756
17,Minnesota Vikings,1063788,511960.0,551828.0,63939,65763,63952,69552,Bye,62143,64278,73502,63813,78637,70610,63814,61375,64005,64136,70246,64023
18,New England Patriots,1136903,550048.0,586855.0,68756,73528,64868,68756,71079,76571,Bye,68756,68756,73405,68756,78025,68756,71810,68756,77569,68756
19,New Orleans Saints,970678,417270.0,553408.0,72920,68031,63952,58688,70580,65562,64586,61643,32637,Bye,68756,77152,34411,70083,32551,63747,65379
20,New York Giants,1157637,628519.0,529118.0,78387,68031,65373,78453,Bye,62278,78516,78630,63820,78637,78626,67102,78645,67443,78625,90477,44594
21,New York Jets,1202681,619958.0,582723.0,78014,77918,77422,70479,77852,72045,70995,Bye,77662,73529,76255,77152,68756,77561,72650,77569,76822
22,Oakland Raiders,1013461,418450.0,595011.0,68756,62273,67735,62400,Bye,52666,42779,69149,79033,62779,90129,49097,66436,77561,41862,76212,44594
23,Philadelphia Eagles,1109699,541393.0,568306.0,70806,67727,67735,78742,63199,Bye,67747,76530,90298,67739,78626,67665,67637,67443,65382,44723,67700
24,Pittsburgh Steelers,1048739,507434.0,541305.0,62931,70742,64868,Bye,68537,63891,66104,64178,70607,63491,70601,57442,63044,61237,64136,73136,63794
25,San Diego Chargers,1090332,529916.0,560416.0,67679,75310,65373,68756,68537,52666,67747,65750,77662,Bye,65602,84930,66436,65026,57389,75956,65513
26,San Francisco 49ers,1113073,523426.0,589647.0,67918,67727,68247,103467,68084,Bye,90224,63358,63820,62153,63590,69149,60439,66690,64764,65473,67970
27,Seattle Seahawks,1067926,532954.0,534972.0,65204,66030,64843,90215,65707,66196,67046,Bye,43542,67192,63590,67102,67637,66690,69149,67855,69928
28,St. Louis Rams,1036861,523685.0,513176.0,67918,45160,65835,78453,65707,57307,64586,65251,Bye,67192,65750,70010,65701,64005,65382,65473,63131
29,Tampa Bay Buccaneers,1044836,521741.0,523095.0,63939,64777,70518,64994,77852,65168,Bye,63358,65014,65421,70794,65506,34411,73467,68756,65482,65379
30,Tennessee Titans,1059178,553192.0,505986.0,62931,69149,65835,69149,70430,69149,39482,69149,72594,Bye,69149,69149,57228,69149,69149,72001,65485
31,Washington Redskins,1260275,716999.0,543276.0,90138,65207,Bye,90215,75880,78083,90224,78630,90298,65421,90129,84930,65701,46654,90588,90477,67700
32,,17303791,,,1136188,1060494,948666,1020311,942734,922338,925753,946633,935116,941847,1123937,1051873,1050672,1075179,1042286,1121580,1058184
