,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,1072427,516646.0,555781.0,68111,64542,71372,64844,61788,64403,85640,Bye,65267,64753,65403,64483,64791,68193,70007,64159,64671
1,Atlanta Falcons,1075623,547167.0,528456.0,62815,61821,68175,69312,69143,69828,69994,Bye,66049,73340,69480,69845,62051,69553,65133,64159,64925
2,Baltimore Ravens,1112200,569226.0,542974.0,66093,71246,71372,73024,67885,71175,70727,Bye,63457,71130,71055,63337,71382,70513,70287,68164,71353
3,Buffalo Bills,1140970,568437.0,572533.0,71132,64307,68756,70600,71575,Bye,70727,76688,70745,70615,71338,64546,85831,71018,73196,71302,68594
4,Carolina Panthers,1126754,587221.0,539533.0,65307,73665,68175,73707,70001,64403,Bye,74005,69143,73340,70805,72032,73191,66090,73421,73860,65609
5,Chicago Bears,1041602,497267.0,544335.0,67837,62095,62099,60811,70904,62174,67806,62171,Bye,62715,68249,62148,62244,82213,63800,62272,62064
6,Cincinnati Bengals,1083308,526320.0,556988.0,66093,72801,68110,66113,Bye,76846,65868,66188,70745,71130,65403,65489,58842,65143,68053,66023,70461
7,Cleveland Browns,1110086,584006.0,526080.0,73089,72801,51075,73024,68756,73198,Bye,62777,72927,64781,71055,72730,64791,76822,73196,66023,73041
8,Dallas Cowboys,1087748,508278.0,579470.0,63031,71615,62099,62866,71575,63984,63432,Bye,67688,78964,63706,63315,64167,62759,63777,73860,90910
9,Denver Broncos,1139812,612893.0,526919.0,71132,76784,76463,57274,76879,Bye,77038,77160,60783,77368,76590,62148,61990,75895,70747,65477,76084
10,Detroit Lions,1035791,490436.0,545355.0,61547,61771,67570,60811,88944,Bye,60442,62171,60783,64753,60675,63257,62996,62759,66505,59938,70869
11,Green Bay Packers,1120775,566443.0,554332.0,70598,78701,70733,63779,70904,70761,Bye,77160,78988,70945,70805,63257,64167,70828,66008,62272,70869
12,Houston Texans,1080028,564159.0,515869.0,70080,73665,70765,69312,70156,63715,70734,60439,49603,Bye,70780,72730,69143,70237,70747,57262,70660
13,Indianapolis Colts,1009598,458437.0,551161.0,57361,69143,70765,57274,57202,Bye,67164,74005,57540,67726,57294,69845,57302,70513,62000,57262,57202
14,Jacksonville Jaguars,1066830,522410.0,544420.0,65437,61821,76463,Bye,76917,63715,67164,65133,70009,69143,66732,64546,57302,66090,58793,66905,70660
15,Kansas City Chiefs,1143671,614217.0,529454.0,70080,62095,78038,65175,76917,76846,62240,Bye,78988,77368,57294,76210,74874,75895,74976,59938,76737
16,Miami Dolphins,1154961,577835.0,577126.0,90163,71615,77197,70621,70156,73198,71951,81176,Bye,70615,68934,57704,71109,71018,70287,68756,70461
17,Minnesota Vikings,1065131,506046.0,559085.0,62815,61771,78038,63779,Bye,62174,63432,63019,63043,70945,62960,78591,62996,68050,63800,63634,76084
18,New England Patriots,1109366,550048.0,559318.0,77900,68756,68756,66113,68756,63984,71951,68756,57540,Bye,71338,68756,71382,68756,68756,68756,79110
19,New Orleans Saints,1093544,560036.0,533508.0,57361,65178,70002,Bye,70001,68296,69994,68244,70009,70003,70780,72032,70009,69553,70007,70011,62064
20,New York Giants,1197501,629848.0,567653.0,63031,78701,90803,78862,78809,69828,78912,81176,Bye,78964,60675,78591,62244,68594,77899,71302,79110
21,New York Jets,1175701,616855.0,558846.0,77900,71246,77197,70600,78809,77189,65868,76688,76663,Bye,77659,63315,71109,76822,68756,69143,76737
22,Oakland Raiders,1033850,472876.0,560974.0,61547,76784,51075,70621,Bye,67523,62240,69143,49603,62715,62960,76210,61990,70828,62000,66905,61706
23,Philadelphia Eagles,1127787,545357.0,582430.0,70598,67726,67570,78862,Bye,77189,67806,63019,67688,90218,68934,68756,68445,68594,63777,70011,68594
24,Pittsburgh Steelers,1061307,496675.0,564632.0,73089,64307,64313,64844,64478,Bye,77038,66188,63457,64781,77659,57704,58842,68756,58793,65705,71353
25,San Diego Chargers,1075885,524019.0,551866.0,67837,68756,70733,65175,76879,67523,Bye,60439,63043,67726,66732,63337,74874,69143,66505,65477,61706
26,San Francisco 49ers,1097841,544226.0,553615.0,68111,65295,64313,67651,67885,Bye,78912,68244,66049,68331,68039,64483,73191,68050,68053,68193,73041
27,Seattle Seahawks,1087363,545551.0,541812.0,68044,64542,68110,67651,64478,68296,68164,Bye,72927,68331,68249,65423,68445,68193,73421,68164,64925
28,St. Louis Rams,1049682,514354.0,535328.0,65307,65295,65267,62866,61788,71175,68164,62777,Bye,70003,68039,65423,62051,65143,66008,65705,64671
29,Tampa Bay Buccaneers,1059844,522530.0,537314.0,68044,65178,65267,73707,57202,65347,60442,65133,65267,Bye,69480,65596,70009,70237,65133,68193,65609
30,Tennessee Titans,1098921,553144.0,545777.0,65437,69143,70002,Bye,69143,65347,70734,69143,69143,69143,76590,65489,69143,69143,74976,69143,57202
31,Washington Redskins,1259463,704722.0,554741.0,90163,67726,90803,Bye,88944,70761,85640,68756,76663,90218,63706,65596,85831,82213,77899,63634,90910
32,,17597685,,,1098545,1095446,1120738,944639,993437,894439,980112,894899,931905,1000032,1089699,1073462,1078367,1123807,1093358,1060804,1123996
