,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,1083135,518652.0,564483.0,64864,64230,68647,64622,70178,64709,65089,74088,Bye,65127,66808,69233,64939,65750,65072,69050,80729
1,Atlanta Falcons,1116392,559998.0,556394.0,69382,54081,73003,70508,76802,69071,69832,70165,57797,69596,Bye,69233,69879,82495,70164,73549,70835
2,Baltimore Ravens,1134133,568823.0,565310.0,71104,67431,60127,71152,71318,78487,78160,Bye,71286,70921,93056,70903,70916,66829,71223,66276,54944
3,Buffalo Bills,1098702,548073.0,550629.0,71104,70256,68647,66829,83679,70003,65658,70442,69084,Bye,61356,67849,54759,69657,66529,64690,78160
4,Carolina Panthers,1159680,590343.0,569337.0,76843,74143,73813,70508,73425,73138,Bye,74088,86109,74181,73288,54909,69104,73856,76689,73549,62037
5,Chicago Bears,1060607,482951.0,577656.0,71933,62268,90554,60841,66622,61054,78217,60422,Bye,62898,78898,59494,59782,61726,61137,57953,66808
6,Cincinnati Bengals,1088770,508071.0,580699.0,78160,65072,63850,60834,91653,66829,65047,84488,Bye,76218,61356,70903,55456,60028,62096,71836,54944
7,Cleveland Browns,1044825,514489.0,530336.0,69596,67431,65176,76249,67431,60897,65047,67431,67431,70921,67431,60034,Bye,60028,66529,57272,55921
8,Dallas Cowboys,1322087,740318.0,581769.0,92867,80612,90554,70178,91653,78481,Bye,93103,67431,67737,93056,93099,66860,80874,93101,92885,69596
9,Denver Broncos,1133943,614193.0,519750.0,76843,76379,63850,60375,76802,58904,76865,76756,54957,73138,Bye,76819,63075,68780,76893,76671,76836
10,Detroit Lions,1075305,486342.0,588963.0,65566,58466,78411,60841,58047,56018,60461,71882,66807,Bye,61486,63793,73137,61726,79434,92885,66345
11,Green Bay Packers,1169215,625727.0,543488.0,63179,66813,78411,Bye,78401,78481,78217,70165,78437,69116,77137,69596,77867,78057,61137,77856,66345
12,Houston Texans,1132210,574947.0,557263.0,71933,71890,66829,71815,66683,71891,76865,71882,Bye,62091,76473,71897,77867,65250,71803,71836,65205
13,Indianapolis Colts,1100210,524393.0,575817.0,65566,76379,64747,83764,66622,71891,65470,65417,78437,Bye,65048,66583,78160,65250,66820,54896,65160
14,Jacksonville Jaguars,1031602,517172.0,514430.0,63179,52165,60127,83764,Bye,61054,62614,61619,73294,62091,61486,67849,63075,62701,71803,59621,65160
15,Kansas City Chiefs,1115214,586624.0,528590.0,73238,71890,71587,61278,Bye,54211,76282,65417,73294,74181,72277,76819,69879,75191,68084,76671,54915
16,Los Angeles Rams,1198268,665318.0,532950.0,70178,91046,55009,64622,83679,56018,74121,Bye,86109,78160,83483,73067,66829,82495,69067,83656,80729
17,Miami Dolphins,1073132,524101.0,549031.0,69012,66829,65176,60834,64425,65351,65658,Bye,65722,55107,83483,65856,70916,65750,78160,64690,66163
18,Minnesota Vikings,1084502,534289.0,550213.0,63816,66813,73813,66690,66683,Bye,69596,60422,66807,78216,66808,63793,66860,62701,66820,77856,66808
19,New England Patriots,1094772,534632.0,560140.0,64864,66829,66829,66829,67431,66829,66009,70442,Bye,66829,70178,78160,66829,66829,76893,66829,66163
20,New Orleans Saints,1141039,584876.0,556163.0,73028,77727,73003,60641,Bye,73138,76282,73188,70178,73138,73288,73067,73137,62140,65072,73177,70835
21,New York Giants,1217320,630315.0,587005.0,92867,77727,78368,66690,78401,78487,74121,Bye,80309,76218,78898,60034,65825,80874,79434,69596,79471
22,New York Jets,1168377,625280.0,543097.0,78160,70256,71587,78160,66385,64709,78160,67431,65722,78160,Bye,78160,78160,70178,78160,66829,78160
23,Oakland Raiders,1009172,458561.0,550611.0,73028,54081,62370,71152,54275,54211,62614,61068,54957,Bye,76473,54909,54759,75191,68352,54896,76836
24,Philadelphia Eagles,1125298,556768.0,568530.0,69596,62268,69596,Bye,58047,78934,69596,93103,80309,69596,69190,69596,55456,69596,71223,69596,69596
25,Pittsburgh Steelers,1065627,514503.0,551124.0,79124,65072,69596,61278,66385,65351,66009,Bye,71286,67737,67431,66583,65825,69657,62096,66276,55921
26,San Diego Chargers,998070,456197.0,541873.0,73238,52165,64747,60641,54275,58904,69832,76756,52281,55107,Bye,71897,53832,73856,68352,57272,54915
27,San Francisco 49ers,1119165,561424.0,557741.0,70178,74143,69010,70178,70178,70003,70178,Bye,70178,65127,70178,65856,59782,70178,70164,83656,70178
28,Seattle Seahawks,1138809,552588.0,586221.0,69012,91046,69010,78160,Bye,69071,65089,73188,69084,66829,69190,63674,69104,78057,69067,69050,70178
29,Tampa Bay Buccaneers,1054600,484998.0,569602.0,69382,64230,55009,60375,73425,Bye,70178,61068,57797,62898,72277,63674,53832,62140,93101,73177,62037
30,Tennessee Titans,1016507,517273.0,499234.0,63816,58466,62370,71815,64425,60897,65470,61619,52281,69116,65048,59494,Bye,68780,68084,59621,65205
31,Washington Redskins,1206654,626432.0,580222.0,79124,80612,78368,76249,71318,78934,60461,84488,Bye,78216,77137,93099,64939,69596,76689,57953,79471
32,,17788671,,,1151890,1099408,1111097,1023936,989324,1007978,1043599,930069,893692,969335,1016109,1104966,990420,1113108,1144624,1115813,1083303
