,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,1041022,508829.0,532193.0,63407,67470,63278,68981,63445,63977,61595,70809,Bye,63926,63348,63483,65612,63603,63845,67751,66492
1,Atlanta Falcons,1126210,563462.0,562748.0,73522,70828,70003,68981,Bye,70840,71151,65978,60987,70793,70790,70933,86436,65691,71102,68834,69341
2,Baltimore Ravens,1125187,566547.0,558640.0,65087,70744,72474,70743,76355,70762,Bye,69152,70792,69143,70790,70946,65973,77232,70857,63224,70913
3,Buffalo Bills,1081107,541169.0,539938.0,68756,72797,72067,71972,62206,60704,72180,Bye,72205,57306,70125,63608,63361,77131,71011,54765,70913
4,Carolina Panthers,1147260,588537.0,558723.0,73522,63623,65423,73392,73520,70762,65964,73682,Bye,73573,73348,85450,69098,73702,73798,68834,69569
5,Chicago Bears,1048363,497786.0,550577.0,70918,62181,63754,62225,62206,63977,Bye,62200,62206,78641,77632,68756,62221,66234,62260,60665,62287
6,Cincinnati Bengals,1081250,527870.0,553380.0,77956,66072,64922,66035,Bye,65732,65964,65978,70792,65917,68001,72926,65973,65882,57292,75759,66049
7,Cleveland Browns,1112241,578672.0,533569.0,72915,66072,72474,61426,73520,Bye,73024,72507,65558,70793,73296,72926,71927,55246,70857,69603,70097
8,Dallas Cowboys,1089509,506308.0,583201.0,67164,63152,Bye,69143,69268,63186,63512,73682,90250,63926,63706,63183,78666,63722,71102,62839,63008
9,Denver Broncos,1155737,610782.0,544955.0,65577,76786,68756,Bye,76355,76691,73024,76767,64661,62094,76723,79484,76146,67514,63845,75759,75555
10,Detroit Lions,1021303,487116.0,534187.0,60535,62181,61095,65563,63906,60704,76953,Bye,60987,60707,63348,61562,68756,60861,70472,60665,63008
11,Green Bay Packers,1104825,565749.0,539076.0,70918,70602,61095,69222,70804,Bye,73548,70809,72205,63924,70753,68256,70527,68539,70472,70864,62287
12,Houston Texans,1086443,561469.0,524974.0,70180,56614,70069,70071,Bye,63186,70035,69143,78485,65918,70125,76596,46276,70760,68756,70132,70097
13,Indianapolis Colts,1028634,457154.0,571480.0,78622,56614,57041,77190,57021,Bye,57274,76767,68756,57306,63706,57296,69143,67164,57292,70132,57310
14,Jacksonville Jaguars,1104052,534866.0,569186.0,67164,67164,57041,89450,66604,Bye,70035,69249,66524,65918,67164,63608,73160,67164,69143,67164,77500
15,Kansas City Chiefs,1167512,623275.0,544237.0,77956,76786,Bye,77609,63445,64727,77752,77645,66191,73132,78097,79484,71927,77232,66583,61446,77500
16,Miami Dolphins,1119255,585973.0,533282.0,64927,72797,72733,70071,68756,77439,73548,Bye,62206,73132,73070,61562,73160,74033,71011,73500,57310
17,Minnesota Vikings,1075545,509743.0,565802.0,90608,63623,63754,71972,63906,Bye,68118,63819,68088,63924,73070,63483,62221,60861,63677,70864,63557
18,New England Patriots,1110770,550048.0,560722.0,68756,77595,68756,66035,68756,Bye,72180,63819,68756,68756,70753,68756,68756,74033,68756,67164,69143
19,New Orleans Saints,1108045,550470.0,557575.0,72915,70602,70003,73392,68183,68269,Bye,69152,65561,61911,68001,70933,68241,63722,69052,78539,69569
20,New York Giants,1196814,628910.0,567904.0,78622,69241,68161,Bye,78653,70840,63512,78647,78485,78641,67164,69143,78666,73702,78657,78539,86141
21,New York Jets,1175356,618575.0,556781.0,69143,77595,72067,77190,66604,77439,76953,72507,Bye,68756,77632,76596,70527,77131,63677,73500,78039
22,Oakland Raiders,1039706,467964.0,571742.0,62578,70744,Bye,61426,68368,76691,61595,62385,67816,62094,78097,66105,46276,65882,50164,61446,78039
23,Philadelphia Eagles,1109173,553794.0,555379.0,70180,69241,68166,69222,69268,68269,65808,69249,Bye,69143,69232,57296,69098,84164,78657,62839,69341
24,Pittsburgh Steelers,1052087,499461.0,552626.0,64927,67164,64922,Bye,67837,64727,71151,62385,64661,61911,73296,70946,59843,55246,73798,63224,66049
25,San Diego Chargers,1084416,531031.0,553385.0,62578,64344,Bye,70743,67837,68137,77752,66598,65558,65917,76723,66105,63361,67514,66583,68174,66492
26,San Francisco 49ers,1086093,545207.0,540886.0,63407,67791,68166,77609,68368,68137,Bye,62200,68088,60707,68367,65517,68241,68539,67650,67751,75555
27,Seattle Seahawks,1083593,543820.0,539773.0,60535,67470,68161,62225,Bye,65592,68118,77645,67816,68175,68367,68256,76146,63603,67650,68174,65660
28,St. Louis Rams,1046325,522610.0,523715.0,65577,67791,63278,65563,70804,65592,Bye,66598,66191,68175,73348,65517,65612,66234,50164,62324,63557
29,Tampa Bay Buccaneers,1070781,524661.0,546120.0,65087,70828,65423,Bye,68183,65732,65808,78647,65561,73573,65699,63183,59843,65691,62260,69603,65660
30,Tennessee Titans,1097073,553144.0,543929.0,69143,64344,72733,69143,57021,88550,Bye,69143,66524,69143,69232,69143,69143,70760,69143,54765,69143
31,Washington Redskins,1236415,701049.0,535366.0,90608,63152,70069,89450,78653,88550,57274,Bye,90250,69143,65699,85450,86436,84164,69052,62324,86141
32,,17606051,,,1121895,1087004,937942,993022,954926,904606,896914,978581,968080,1073059,1129351,1103244,1095386,1101478,1074319,1075583,1110661
