,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,1087072,512775.0,574297.0,67186,63445,90060,78222,63830,64389,Bye,72010,61303,64519,67616,64541,69144,63720,64457,68756,63874
1,Atlanta Falcons,1040162,502813.0,537349.0,62310,63611,62434,72688,70610,64096,Bye,69144,61196,64826,54644,64841,67200,70011,65045,62889,64617
2,Baltimore Ravens,1115465,570152.0,545313.0,70978,Bye,71104,64038,71131,66153,64972,71254,73078,70552,78849,71379,63871,71438,71502,63800,71366
3,Buffalo Bills,1102421,551969.0,550452.0,71194,65167,71297,61017,63830,Bye,71602,65011,71827,68756,71645,73584,70988,52134,78548,74539,71282
4,Carolina Panthers,1111316,585684.0,525632.0,67115,73828,62628,72688,72319,64211,73687,72010,Bye,47888,73349,64841,70297,74113,73690,78653,69999
5,Chicago Bears,1028406,496276.0,532130.0,66822,73828,62051,62099,59790,64096,62235,Bye,62188,62124,71040,61994,63722,61736,61692,62151,70838
6,Cincinnati Bengals,1076462,516663.0,559799.0,70978,64540,79276,65541,62655,78161,65860,70112,64238,Bye,64633,59854,63871,66402,63996,72361,63984
7,Cleveland Browns,1147622,582230.0,565392.0,73012,73048,71104,65541,Bye,73102,90487,64775,73078,73141,71645,72077,72411,69143,69144,72361,63553
8,Dallas Cowboys,1076887,506944.0,569943.0,73012,63472,71113,63462,62655,64389,62035,63254,78826,Bye,90830,63272,63253,60594,63776,63800,69144
9,Denver Broncos,1159630,604074.0,555556.0,62762,75915,75713,74623,75480,75674,68756,Bye,75499,73141,54644,76067,78809,75187,73690,74539,69131
10,Detroit Lions,970445,435979.0,534466.0,62310,60285,67249,Bye,59790,62867,70081,54312,62188,52631,73349,49096,60112,50444,66281,49309,70141
11,Green Bay Packers,1089433,565460.0,523973.0,71004,60285,71113,64122,70610,68302,71010,Bye,69143,63845,71040,70668,70297,70245,65457,62151,70141
12,Houston Texans,1075618,563364.0,512254.0,64001,Bye,69143,64061,70118,70023,70081,70112,62839,70552,66201,72077,70809,70245,70831,43687,70838
13,Indianapolis Colts,1075412,531026.0,544386.0,66822,63585,65938,Bye,70118,66153,71010,69143,66508,64043,66201,68428,72411,66402,66281,65648,66721
14,Jacksonville Jaguars,1052873,521338.0,531535.0,69143,65167,65938,64061,65908,75674,Bye,64775,64238,52631,65258,65064,70809,61736,65457,65648,71366
15,Kansas City Chiefs,1142228,592622.0,549606.0,68756,74480,62434,74623,72319,Bye,74200,78037,74045,67510,74159,73584,61379,75187,73842,73689,63984
16,Miami Dolphins,1067965,523919.0,544046.0,65859,63445,68756,Bye,65063,70023,64972,65011,75499,64862,65113,67146,61046,52134,65893,73689,79454
17,Minnesota Vikings,1023776,506136.0,517640.0,71004,63585,62628,69143,70015,62867,62235,Bye,62839,63845,65278,65064,63722,50444,64457,62889,63761
18,New England Patriots,1100148,550048.0,550100.0,68756,78554,68756,Bye,67650,68704,68756,68756,66508,68756,68756,67146,68756,68077,62179,68756,71282
19,New Orleans Saints,1125938,573876.0,552062.0,69881,88246,75713,70008,70015,70068,73687,83226,Bye,64826,74159,70668,64430,70011,61692,49309,69999
20,New York Giants,1179158,632554.0,546604.0,79742,61377,79276,Bye,79529,73102,78676,64991,78826,69144,78849,64541,85912,79003,63776,78653,63761
21,New York Jets,1170229,627858.0,542371.0,65859,78554,68922,78222,Bye,78161,61901,78037,71827,78073,68756,69143,78809,67782,78548,68181,79454
22,Oakland Raiders,1024023,462800.0,561223.0,62762,74480,71297,61808,Bye,70068,61901,71254,61196,47888,65113,76067,61379,68097,62179,43687,64847
23,Philadelphia Eagles,1111845,553152.0,558693.0,69144,63472,69144,62099,69144,67640,Bye,69144,68055,69144,64633,71379,69144,79003,69144,82412,69144
24,Pittsburgh Steelers,1076998,503125.0,573873.0,64001,73048,69144,64038,65908,Bye,65860,64991,90512,64043,62051,59854,68756,60594,71502,69143,63553
25,San Diego Chargers,1103392,545107.0,558285.0,67115,75915,68922,61808,65063,68704,71602,83226,Bye,67510,62051,68428,67200,68097,73842,64778,69131
26,San Francisco 49ers,1076358,540103.0,536255.0,67186,67951,67249,70008,67650,67640,78676,67504,Bye,64519,67573,63272,70988,67782,65893,54948,67519
27,Seattle Seahawks,1075115,543965.0,531150.0,71194,67951,68012,Bye,79529,68302,64811,67504,68055,64862,67616,67771,63253,68077,56123,68181,63874
28,St. Louis Rams,1050114,479843.0,570271.0,69144,61377,68012,61017,Bye,90376,62035,68756,61303,78073,67573,61994,61046,63720,56123,54948,64617
29,Tampa Bay Buccaneers,1049053,516088.0,532965.0,69881,63611,62051,64122,75480,64211,64811,63254,74045,Bye,65278,49096,64430,74113,65045,64778,64847
30,Tennessee Titans,1088061,553144.0,534917.0,69143,64540,69143,69143,71131,Bye,74200,69143,69143,62124,65258,69143,60112,69143,70831,69143,66721
31,Washington Redskins,1246219,708835.0,537384.0,79742,88246,90060,63462,69144,90376,90487,54312,90512,Bye,90830,67771,85912,71438,63996,82412,67519
32,,17459922,,,1098909,1037504,1122840,870832,963242,983766,980313,961529,979257,911914,1106995,1064925,1092139,1068126,1072456,1054944,1090231
