,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,1028446,513487.0,514959.0,62903,62351,63663,63146,60816,63846,64722,67431,Bye,69005,64745,70799,51115,64784,69596,64878,64646
1,Atlanta Falcons,1134671,562845.0,571826.0,70516,77678,90345,69904,70178,73018,63329,70524,70799,Bye,70433,70610,58221,74420,64016,70981,69699
2,Baltimore Ravens,1083919,568018.0,515901.0,76798,53500,70970,63929,71046,70799,64722,70829,Bye,70837,71105,64380,64519,71179,70791,71261,57254
3,Buffalo Bills,1140809,559047.0,581762.0,70319,70858,64869,70677,65670,69593,84021,Bye,70214,78160,66829,72493,68544,69596,80124,70172,68670
4,Carolina Panthers,1157689,592454.0,565235.0,60733,73254,73402,57468,Bye,69020,74194,74136,74461,63591,74418,90909,73097,74420,79436,70981,74169
5,Chicago Bears,1020065,496287.0,523778.0,62442,62351,69002,62409,75799,57648,Bye,62311,68033,58653,62483,78488,62088,61026,52421,63734,61177
6,Cincinnati Bengals,1028118,491118.0,537000.0,54500,57579,70970,57498,65004,69593,Bye,64750,65816,61381,64745,61022,64775,65564,70799,76868,57254
7,Cleveland Browns,1062262,529488.0,532774.0,78160,67431,67431,63710,71046,67431,51523,67431,65816,64402,Bye,64380,64775,63916,69002,69115,66693
8,Dallas Cowboys,1312509,731672.0,580837.0,93579,69296,90345,73009,93054,Bye,80319,91486,91827,64113,65115,90909,80444,78369,90345,70172,90127
9,Denver Broncos,1141878,615381.0,526497.0,76798,76404,62920,77029,54500,67431,Bye,77075,66894,76973,62483,76970,68631,76824,67234,76868,76844
10,Detroit Lions,1025745,490782.0,534963.0,66093,52319,62920,69005,60816,57648,60231,83624,Bye,78526,60202,64445,63207,51202,73017,61313,61177
11,Green Bay Packers,1147786,627308.0,520478.0,62442,78433,78214,70799,78432,78434,Bye,77075,74461,78526,52529,78488,63207,78369,55087,64878,78412
12,Houston Texans,1098814,574159.0,524655.0,71776,73254,71718,69904,71732,58085,65251,71630,Bye,61381,71718,71778,68544,71908,66083,62153,71899
13,Indianapolis Colts,1067476,528381.0,539095.0,70319,65220,65920,65609,71732,66726,66420,74136,66894,Bye,70433,65696,58701,62372,66083,65482,65733
14,Jacksonville Jaguars,1056511,514268.0,542243.0,60733,65443,66829,65609,58490,58085,84021,Bye,78160,70837,60121,59477,57355,62372,64016,73064,71899
15,Kansas City Chiefs,1130807,602228.0,528579.0,71776,76404,78214,57498,75799,52480,76365,83624,Bye,76973,65837,72493,55010,72314,70791,69115,76114
16,Miami Dolphins,1093320,537548.0,555772.0,76512,65443,64869,83986,Bye,62342,65251,66829,70214,69596,65115,78160,64519,65408,66676,65482,62918
17,Minnesota Vikings,958016,419440.0,538576.0,70499,52319,52400,77029,Bye,52480,60231,62311,52406,54700,52529,70610,52430,64784,52421,52455,78412
18,New England Patriots,1136287,534632.0,601655.0,66829,70858,66829,Bye,93054,66726,66829,66829,66829,81061,66829,76970,66829,71908,66829,78160,62918
19,New Orleans Saints,1135027,584305.0,550722.0,62903,73006,73402,73009,69296,73018,66420,73019,73075,75086,Bye,71778,73097,62138,73017,73064,69699
20,New York Giants,1198163,632011.0,566152.0,93579,77678,76081,70677,78515,69296,80319,73019,64351,81061,Bye,77367,80898,65408,79436,52455,78023
21,New York Jets,1207646,625280.0,582366.0,78160,65220,78160,83986,Bye,78160,66829,54700,78160,78160,71718,78160,80898,78160,90345,78160,68670
22,Oakland Raiders,970514,436397.0,534117.0,54500,53500,67431,62409,54500,Bye,67542,54700,65520,54700,60202,58075,55010,76824,55087,54400,76114
23,Philadelphia Eagles,1154629,555868.0,598761.0,70516,69296,78160,74767,69296,69296,74194,Bye,91827,69596,69596,64445,66829,69596,69596,69596,78023
24,Pittsburgh Steelers,1050712,514854.0,535858.0,66829,66472,52433,63929,67658,63846,76365,64750,65520,64402,Bye,69055,58701,65564,67234,71261,66693
25,San Diego Chargers,1056457,534180.0,522277.0,66093,57579,52400,63710,67658,78434,67542,70829,68033,Bye,65837,59477,68631,72314,66676,54400,76844
26,San Francisco 49ers,1082259,566092.0,516167.0,70499,66472,63663,70799,78515,70799,70799,51207,70799,Bye,68993,70799,62088,63916,70799,61313,70799
27,Seattle Seahawks,1097931,552162.0,545769.0,51792,78433,69002,69005,65004,69020,70799,91486,Bye,69005,68993,69055,52430,71179,69002,69080,64646
28,St. Louis Rams,957670,419220.0,538450.0,51792,72460,52433,63146,78432,Bye,51523,51207,52406,58653,71105,61022,51115,51202,51295,69080,70799
29,Tampa Bay Buccaneers,1041376,492460.0,548916.0,63945,73006,71718,57468,58490,Bye,72912,70524,64351,64113,69596,65696,58221,62138,51295,63734,74169
30,Tennessee Titans,1045359,498435.0,546924.0,63945,67431,65920,Bye,65670,62342,63329,71630,73075,63591,60121,58075,57355,78160,66829,62153,65733
31,Washington Redskins,1196087,609672.0,586415.0,76512,72460,76081,74767,70178,78160,72912,Bye,66829,75086,74418,77367,80444,61026,80124,69596,90127
32,,17509479,,,1097396,1081704,1104357,1022945,980190,936878,964457,979551,908385,966084,924124,1129724,1025864,1089180,1092751,1072712,1133177
