,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,997710,488271.0,509439.0,55279,60034,73057,44956,60426,69732,61200,60671,Bye,60845,59862,60882,69144,60643,69143,68266,63570
1,Atlanta Falcons,1080805,561795.0,519010.0,72348,70056,70660,70744,70246,Bye,69522,60671,73720,70309,55360,70422,38969,77550,70069,69732,70427
2,Baltimore Ravens,1106022,569084.0,536938.0,76977,71098,71168,68296,68342,71319,62295,Bye,71513,70992,62367,71148,71005,70921,64742,71433,62406
3,Buffalo Bills,1032476,502842.0,529634.0,69519,67819,76957,68296,71239,67739,60592,72405,68159,60406,68036,Bye,38969,59194,60085,54305,68756
4,Carolina Panthers,1112229,587544.0,524685.0,73294,67819,73748,Bye,60426,63963,72686,59073,73720,69732,74225,60156,72795,73089,73251,73825,70427
5,Chicago Bears,1057075,498864.0,558211.0,62213,62181,61575,64552,62361,62374,83147,Bye,78122,62431,62367,66024,64134,62229,71513,69144,62708
6,Cincinnati Bengals,1001806,506377.0,495429.0,62213,64585,64633,71481,64259,67739,63207,62576,52388,70992,63856,Bye,61536,62507,45873,61555,62406
7,Cleveland Browns,1122750,569939.0,552811.0,71513,71098,63672,71481,71239,71513,77804,74307,71513,Bye,63856,71513,69654,68756,71513,76957,56361
8,Dallas Cowboys,1279578,704345.0,575233.0,85348,76952,80848,68601,92758,90239,69144,64379,85360,73018,Bye,80499,87572,62229,91054,80411,91166
9,Denver Broncos,1194145,614977.0,579168.0,76977,81285,76978,77002,92758,76862,67196,77031,Bye,68847,77076,68756,77065,76554,76497,71761,51500
10,Detroit Lions,1053841,510369.0,543472.0,62461,60034,80111,64552,78200,71513,63207,64379,Bye,62431,57905,62098,64934,69144,64742,63996,64134
11,Green Bay Packers,1191205,623577.0,567628.0,69732,78020,64633,Bye,78200,71319,77804,64134,78122,78011,79114,77871,64934,77550,91054,77999,62708
12,Houston Texans,1103683,573271.0,530412.0,59522,71718,71168,71756,69732,71104,74118,Bye,71778,60845,71726,71659,71769,60414,65470,71761,69143
13,Indianapolis Colts,1054693,527606.0,527087.0,65412,65406,69732,59695,66608,57954,67196,Bye,71778,66004,69143,60882,65502,62507,65470,75396,66008
14,Jacksonville Jaguars,1028219,503140.0,525079.0,59416,49400,68087,59695,54266,76862,59550,83559,Bye,69143,59862,71659,69654,60414,60085,60559,66008
15,Kansas City Chiefs,1118007,602877.0,515130.0,59416,76952,69144,73386,69143,76394,74118,74307,68159,Bye,77076,75259,77065,56247,49571,75396,66374
16,Miami Dolphins,1041545,514553.0,526992.0,71513,65406,70660,73118,68342,Bye,60592,68756,52388,64448,60256,60156,76957,52489,71863,54305,70296
17,Minnesota Vikings,1099551,531653.0,567898.0,62461,62181,63672,83518,Bye,63963,79314,64134,85360,64011,68235,77871,64134,70921,64087,61555,64134
18,New England Patriots,1120817,550048.0,570769.0,69519,68756,68756,70744,64259,68756,76957,68756,68756,Bye,74225,68756,71769,68756,71863,71433,68756
19,New Orleans Saints,1123230,583210.0,540020.0,72348,60870,73057,73118,62361,68756,Bye,72405,76957,73018,73025,70422,68387,73089,58442,73825,73150
20,New York Giants,1209532,641184.0,568348.0,85348,81285,73748,73386,80738,62374,79314,69144,Bye,80366,79114,80499,75220,65132,79691,63996,80177
21,New York Jets,1169108,615656.0,553452.0,76957,68756,76957,69143,70246,76957,76957,62576,76957,Bye,68036,71148,76957,76957,73251,76957,70296
22,Oakland Raiders,1004636,403556.0,601080.0,65412,49400,76978,53549,48834,76394,Bye,52950,51751,80366,71726,46001,87572,76957,49571,65675,51500
23,Philadelphia Eagles,1141155,553152.0,588003.0,82743,69144,69144,77002,80738,62505,69144,69144,51751,78011,69144,Bye,69144,69144,64087,69144,91166
24,Pittsburgh Steelers,1025772,458489.0,567283.0,61585,64585,61575,83518,Bye,76957,62295,52950,68756,60406,57905,71513,71005,52489,45873,77999,56361
25,San Diego Chargers,1052439,513641.0,538798.0,59522,69144,69143,68601,48834,57954,59550,Bye,80115,68847,60256,75259,61536,65132,76497,65675,66374
26,San Francisco 49ers,1116046,557856.0,558190.0,69732,68338,69732,56640,69732,69732,69143,83559,Bye,69732,73025,79773,69732,69732,64142,69732,63570
27,Seattle Seahawks,1094133,545577.0,548556.0,73294,68338,68087,71756,66608,68127,61200,55966,67873,70309,68235,Bye,68387,69732,79691,68266,68264
28,St. Louis Rams,1014994,455657.0,559337.0,55279,70056,80848,56640,54266,71104,72686,55966,54617,66004,Bye,66024,69732,60643,58442,54423,68264
29,Tampa Bay Buccaneers,1016122,470548.0,545574.0,76957,60870,68756,44956,Bye,62505,69522,59073,67873,64448,55360,62098,72795,59194,64142,54423,73150
30,Tennessee Titans,1057807,553144.0,504663.0,61585,71718,69143,69143,69143,68127,69143,Bye,54617,69143,69143,46001,65502,76554,69143,60559,69143
31,Washington Redskins,1200007,617767.0,582240.0,82743,78020,80111,53549,Bye,90239,83147,77031,80115,64011,69144,79773,75220,56247,70069,80411,80177
32,,17510569,,,1104319,1085662,1138269,1006437,957152,1055538,1045875,864951,901109,958563,1009330,962061,1104375,1061558,1075493,1095437,1084440
