,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,1063084,513741.0,549343.0,60957,63137,65102,64121,69596,63999,73736,Bye,70133,64639,71680,63891,63986,64153,71026,63850,69078
1,Atlanta Falcons,1123058,575681.0,547377.0,61857,70826,63240,71273,Bye,70593,65878,77562,74244,73761,69026,71036,71185,72866,62382,73188,74141
2,Baltimore Ravens,1088056,564709.0,523347.0,55254,70605,84592,71126,54980,70616,66751,70408,67322,Bye,77945,70357,70500,60069,56434,70590,70507
3,Buffalo Bills,1040917,534200.0,506717.0,68751,74122,68865,71273,52367,Bye,68561,69599,77562,67501,25015,74929,68499,60222,62202,65878,65571
4,Carolina Panthers,1133961,588942.0,545019.0,70178,74122,73775,65878,64288,74373,61256,58545,74244,72790,Bye,77562,73171,73728,74447,71463,74141
5,Chicago Bears,1021219,488137.0,533082.0,61857,56640,61172,78362,61834,70616,61256,73192,Bye,61285,60635,69596,61302,52002,65872,58796,66802
6,Cincinnati Bengals,978253,425937.0,552316.0,55254,52942,78323,67431,52367,Bye,65363,57901,60720,67432,75707,51710,56029,52002,66833,47732,70507
7,Cleveland Browns,968007,511060.0,456947.0,67431,70605,63351,67431,62032,71815,59061,74237,Bye,64646,57003,51710,25320,67431,56434,58796,50704
8,Dallas Cowboys,1309211,741775.0,567436.0,93183,76919,65102,91869,93329,Bye,70133,78428,93273,73761,93247,93012,91712,78125,55372,92150,69596
9,Denver Broncos,1106590,610846.0,495744.0,76324,76919,68865,76909,Bye,76721,25388,76573,69596,76820,75707,53930,65092,75518,63411,72889,75928
10,Detroit Lions,1046765,513100.0,533665.0,60957,77004,63240,66730,64288,73117,Bye,64983,77575,64646,60635,66613,70500,60372,65872,47732,62501
11,Green Bay Packers,1183556,624742.0,558814.0,78381,70826,78323,78362,93329,66848,78380,Bye,77575,61285,77945,62147,77684,67431,74447,78092,62501
12,Houston Texans,1080447,574197.0,506250.0,71710,52942,65878,71804,71835,71815,Bye,69025,71709,60032,71680,70357,62758,71802,64701,71842,60557
13,Indianapolis Colts,1022042,507525.0,514517.0,60128,63137,63351,68872,65612,63888,63104,57901,71709,66146,Bye,62207,61207,60222,63411,70590,60557
14,Jacksonville Jaguars,1049568,514427.0,535141.0,71710,61709,84592,77562,66237,56232,63104,Bye,60720,60835,57003,63891,61207,64431,64701,70133,65501
15,Kansas City Chiefs,1134166,592851.0,541315.0,65878,74971,25386,74587,71835,76994,55090,76573,93273,Bye,76363,74929,77562,74461,75011,65325,75928
16,Los Angeles Chargers,783367,202687.0,580680.0,76324,25381,25386,25374,77373,54685,25388,65878,Bye,60835,25015,93012,25320,25393,75011,77562,25430
17,Los Angeles Rams,1062261,507136.0,555125.0,60128,56612,70178,91869,60745,56232,73736,Bye,76877,60032,66809,62006,63986,67752,69077,60097,66125
18,Miami Dolphins,1051161,541022.0,510139.0,Bye,25381,77562,84423,65135,70593,65025,70408,65139,72790,65089,65878,65092,65548,62202,65325,65571
19,Minnesota Vikings,1099905,533769.0,566136.0,66606,65971,66390,66730,61834,66848,66751,74237,Bye,74476,66809,66613,71185,73728,66833,78092,66802
20,New England Patriots,1099028,527024.0,572004.0,65878,73168,65878,65878,64476,77562,65878,65878,Bye,76820,77357,65878,68499,65548,68574,65878,65878
21,New Orleans Saints,1146046,585113.0,560933.0,66606,73168,73775,84423,Bye,73117,78380,73192,73121,67501,73138,62006,73171,72866,73018,73188,55376
22,New York Giants,1183037,617434.0,565603.0,93183,77004,69596,63916,77373,76721,78527,Bye,76877,70133,76363,73210,54994,78125,76896,63850,76269
23,New York Jets,1143358,620496.0,522862.0,68751,54729,77562,77562,62032,77562,65025,77562,77562,57911,Bye,77562,77562,75518,73018,77562,65878
24,Oakland Raiders,988483,461137.0,527346.0,69089,54729,77123,76909,54980,54685,55090,69599,65139,Bye,77357,53930,54994,74461,55372,69596,25430
25,Philadelphia Eagles,1117141,556768.0,560373.0,78685,74971,69596,25374,69596,74373,69596,69596,69596,Bye,93247,69596,69075,67752,76896,69596,69596
26,Pittsburgh Steelers,1035491,499768.0,535723.0,67431,65971,61172,71126,66237,76994,65363,64983,Bye,66146,60703,62147,56029,60069,68574,71842,50704
27,San Francisco 49ers,1104010,561155.0,542855.0,70178,68729,70178,64121,65612,75568,70133,69596,70133,70133,Bye,70134,61302,71802,70133,70133,66125
28,Seattle Seahawks,1129943,551809.0,578134.0,78381,68729,69127,68872,60745,Bye,78527,69025,68927,64639,69026,70134,69075,64431,69077,92150,69078
29,Tampa Bay Buccaneers,1036961,479618.0,557343.0,Bye,56640,66390,63916,64476,63999,68561,58545,73121,57911,65089,71036,77684,60372,62382,71463,55376
30,Tennessee Titans,1040119,525214.0,514905.0,69089,61709,69127,71804,65135,63888,59061,Bye,67322,67432,60703,62207,62758,64153,70133,60097,65501
31,Washington Redskins,1137639,601405.0,536234.0,78685,56612,77123,74587,Bye,75568,69596,78428,68927,74476,73138,73210,91712,25393,71026,72889,76269
32,,17253425,,,1044412,1023465,1079660,1120237,929839,973011,965849,905927,946198,938407,949717,1088218,1050076,1033873,1075389,1109183,1019964
