,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,1028241,487125.0,541116.0,60032,68756,60436,60183,54653,60385,61068,62810,70504,Bye,69630,60062,79088,67685,60483,62734,69732
1,Atlanta Falcons,1102398,560773.0,541625.0,71180,70427,61297,69594,75337,69383,Bye,69144,70840,73126,69630,54400,70514,73292,70741,63849,69644
2,Baltimore Ravens,1109404,570229.0,539175.0,71064,69144,71269,70944,68803,71384,71708,Bye,65449,71339,63446,57882,71442,81178,71317,71470,61565
3,Buffalo Bills,1033263,495423.0,537840.0,79088,69402,69353,70684,69732,60385,68836,Bye,71698,68756,69118,64366,53971,68109,40770,54462,54533
4,Carolina Panthers,1108455,586347.0,522108.0,51533,72879,73951,69594,72676,Bye,73981,62254,79767,73939,72603,69144,62860,73292,53832,73026,73124
5,Chicago Bears,1056462,498633.0,557829.0,62341,70543,62224,90080,67012,Bye,62300,62254,69143,62410,69732,62306,62264,64134,62534,62734,64451
6,Cincinnati Bengals,1021414,489504.0,531910.0,71064,63036,80060,63030,61162,67060,63411,Bye,63623,56614,63336,56503,54980,63590,69144,63236,61565
7,Cleveland Browns,1065268,533058.0,532210.0,68693,63036,69353,70944,79911,67060,64560,65337,65449,Bye,81936,69661,43641,62422,65083,76351,51831
8,Dallas Cowboys,1290328,708249.0,582079.0,82287,68008,81984,90080,Bye,71384,73981,94067,70840,69144,81936,90166,81851,63590,95595,92570,82845
9,Denver Broncos,1157779,613062.0,544717.0,76823,70427,76566,76787,68756,68604,Bye,76832,63623,73939,76769,74244,76432,53807,71317,76351,76502
10,Detroit Lions,1038451,510158.0,528293.0,62315,69732,69143,63616,Bye,69144,62300,63497,63050,64059,63716,64827,63887,70382,60483,63849,64451
11,Green Bay Packers,1106110,564062.0,542048.0,70523,70543,68218,70571,67020,71702,64359,70464,70504,Bye,63716,80365,70567,70382,62534,70508,64134
12,Houston Texans,1123975,573321.0,550654.0,71566,62907,76566,71581,79088,71702,71708,Bye,71698,62410,71676,64827,69143,68756,71702,71688,66957
13,Indianapolis Colts,1062645,521518.0,541127.0,62341,63912,63536,Bye,67020,79088,64560,69143,66479,63272,68756,64366,63887,64688,71702,62938,66957
14,Jacksonville Jaguars,1010570,519872.0,490698.0,56607,62907,63536,63030,67012,Bye,51634,70464,63050,63272,71676,63323,53971,67027,53667,70251,69143
15,Kansas City Chiefs,1040043,548070.0,491973.0,71180,69402,72226,69979,68803,46500,Bye,74730,55831,57644,63336,74244,62860,62422,51446,62938,76502
16,Miami Dolphins,1005117,459033.0,546084.0,71566,54245,60102,60183,61162,52983,Bye,79088,66479,60165,69118,51295,72114,69732,53667,54462,68756
17,Minnesota Vikings,1019702,485802.0,533900.0,56607,63912,57288,63616,57652,78476,61068,60860,67584,64059,Bye,62306,70567,64134,55751,71688,64134
18,New England Patriots,1134734,550044.0,584690.0,69143,68756,71269,70684,68756,68137,68752,84004,Bye,68756,68756,79088,72114,68756,68756,70251,68756
19,New Orleans Saints,1163696,583107.0,580589.0,72180,72879,72226,70571,73109,Bye,58906,76832,73099,73126,56880,73147,70514,81437,73096,92570,73124
20,New York Giants,1229929,643964.0,585965.0,82287,76964,73951,69144,79911,69732,81352,94067,80991,56614,Bye,80365,80246,81437,70741,71470,80657
21,New York Jets,1142324,632704.0,509620.0,79088,64511,60102,79088,79088,79088,68752,79088,Bye,67841,57711,79088,79088,67027,69143,79088,54533
22,Oakland Raiders,976231,433732.0,542499.0,61896,54245,62373,76787,Bye,69383,51634,74730,52055,71339,56880,56503,43641,53807,51446,73026,66486
23,Philadelphia Eagles,1126893,553152.0,573741.0,68693,69144,60436,69144,64737,69144,Bye,69144,73099,69144,79327,69144,81851,64941,69144,69144,80657
24,Pittsburgh Steelers,1078574,489135.0,589439.0,76823,64511,62373,Bye,64737,69143,63411,62371,80991,57644,63446,69661,71442,61359,95595,63236,51831
25,San Diego Chargers,1022066,479716.0,542350.0,61896,60804,61297,69979,73109,68604,Bye,65337,55831,54813,76769,57882,54980,61359,53832,79088,66486
26,San Francisco 49ers,1094908,557856.0,537052.0,70523,69732,57288,79088,69732,69732,69732,62810,Bye,69732,69732,73147,57279,69732,68756,68161,69732
27,Seattle Seahawks,1017029,543570.0,473459.0,60032,68008,68218,53193,72676,68137,69732,63497,67584,67841,Bye,51295,62264,67685,40770,68161,67936
28,St. Louis Rams,975825,480929.0,494896.0,62315,53979,62224,53193,54653,52983,64359,84004,Bye,69732,57711,60062,57279,68109,55751,51535,67936
29,Tampa Bay Buccaneers,1004457,440819.0,563638.0,51533,76964,81984,58191,Bye,46500,58906,60860,52055,54813,72603,54400,76432,64941,73096,51535,69644
30,Tennessee Titans,1070701,553144.0,517557.0,69143,60804,69143,71581,57652,69143,68836,69143,69143,60165,Bye,63323,69143,64688,69143,70508,69143
31,Washington Redskins,1189702,637236.0,552466.0,72180,53979,80060,58191,75337,78476,81352,62371,79767,Bye,79327,90166,80246,81178,65083,69144,82845
32,,17303347,,,1087271,1059249,1090026,1036665,959648,941721,860599,994601,950113,912854,964636,1070779,1070279,1082539,1033060,1101011,1088296
