,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,1022730,502197.0,520533.0,52440,66824,62439,62189,62621,Bye,67132,61857,64120,61904,66247,62308,61874,62223,71849,66971,69732
1,Atlanta Falcons,1056190,542800.0,513390.0,63609,66824,70051,66874,65290,69144,67665,Bye,67266,68474,53005,68204,53955,71235,67101,70144,67349
2,Baltimore Ravens,1123436,569817.0,553619.0,78127,64071,71119,64729,71246,68756,71220,Bye,71305,68474,73021,70989,71418,71413,71432,65028,71088
3,Buffalo Bills,1034650,493112.0,541538.0,69295,70741,68756,69262,58304,Bye,71220,66625,50746,56721,55654,69642,64012,50861,65511,68281,79019
4,Carolina Panthers,1084908,580965.0,503943.0,77245,72577,72887,70016,73464,Bye,72741,52281,73191,44264,73021,64463,66577,71235,71849,61748,67349
5,Chicago Bears,1022863,497561.0,525302.0,62080,85168,62179,77716,73464,62137,62155,Bye,50746,62206,68752,62147,58119,62347,40504,62310,70833
6,Cincinnati Bengals,1033852,482917.0,550935.0,68756,64071,72887,66731,63888,Bye,67665,63179,65626,67404,55654,78903,59963,57501,56342,54194,71088
7,Cleveland Browns,1017907,528933.0,488974.0,47211,65377,71119,66731,65290,65168,70077,Bye,66292,67449,62254,64463,65942,50861,56342,65028,68303
8,Dallas Cowboys,1277973,696377.0,581596.0,90670,85168,71456,Bye,90616,64120,91375,81395,70913,80851,81261,93985,67471,85673,86904,66971,69144
9,Denver Broncos,1129448,599264.0,530184.0,63636,75130,76401,69143,71246,75982,75835,83941,Bye,75334,68482,72736,67267,62223,44246,73691,74155
10,Detroit Lions,977218,450286.0,526932.0,62080,56688,63377,70729,55714,78341,Bye,46329,57799,56721,81261,60965,58119,57659,47692,66731,57013
11,Green Bay Packers,1122668,566362.0,556306.0,69144,70741,62179,70729,87760,70815,71107,78484,70913,Bye,64120,68204,70575,57659,68756,70649,70833
12,Houston Texans,1108625,568643.0,539982.0,70974,88240,71456,32218,71110,70926,Bye,66363,70886,62340,78843,70855,69144,71413,69143,73691,71023
13,Indianapolis Colts,1093781,535802.0,557979.0,70974,67275,76401,63111,66869,87883,Bye,66363,69144,67404,68756,66085,67471,69143,67147,52567,67188
14,Jacksonville Jaguars,1061603,504262.0,557341.0,63636,62691,63256,63111,58304,63625,69105,81395,Bye,62340,62254,78533,69143,62570,67147,63470,71023
15,Kansas City Chiefs,1069780,541380.0,528400.0,71297,65377,68188,Bye,66869,70926,69105,66625,61075,75334,66247,66370,67267,66780,55669,65606,67045
16,Miami Dolphins,1077049,541959.0,535090.0,69295,63846,70481,69090,Bye,70815,69867,63179,71305,65585,68752,48946,65942,78948,65511,66731,68756
17,Minnesota Vikings,1029797,470009.0,559788.0,70051,63846,63377,Bye,77909,64120,71107,68756,64120,62206,64120,83602,64012,45910,40504,69144,57013
18,New England Patriots,1088753,550048.0,538705.0,68756,78535,68756,69090,Bye,68756,68836,68756,66292,64359,68756,60965,68756,62347,68756,68281,68756
19,New Orleans Saints,1113131,560304.0,552827.0,70051,69732,70051,70016,62621,51759,70077,70011,73191,Bye,70015,93985,59963,70015,71432,70144,70068
20,New York Giants,1190095,631156.0,558939.0,77245,67275,78386,77716,71110,78341,91375,Bye,67287,80851,69144,78533,78861,45910,81223,70649,76189
21,New York Jets,1163375,628768.0,534607.0,78127,78535,70481,69262,77909,75982,Bye,78484,57799,67449,78843,78903,68756,78948,62568,62310,79019
22,Oakland Raiders,911382,371448.0,539934.0,69143,48396,62439,32218,48279,69732,75835,35721,61075,Bye,64987,48946,68183,62570,44246,52567,67045
23,Philadelphia Eagles,1125926,553152.0,572774.0,69144,56688,63256,69144,69732,69144,69143,Bye,69144,84912,69144,62147,69144,85673,81223,69144,69144
24,Pittsburgh Steelers,1049715,504669.0,545046.0,63609,69143,61036,64729,Bye,65168,69867,70011,65626,64359,64987,69642,71418,57501,62568,61748,68303
25,San Diego Chargers,1028715,524241.0,504474.0,71297,62691,67106,62189,48279,52472,68836,59260,70886,Bye,68482,66085,68183,66780,67820,54194,74155
26,San Francisco 49ers,1100435,572065.0,528370.0,67044,69732,68188,66874,69732,69732,72741,83941,Bye,69732,69732,62308,70575,69732,67820,52820,69732
27,Seattle Seahawks,1009483,535942.0,473541.0,67044,75130,67106,52326,Bye,62137,67132,35721,67287,61904,70015,66370,66577,69732,67101,46576,67325
28,St. Louis Rams,911195,423383.0,487812.0,52440,48396,52370,52326,55714,52472,42020,52281,Bye,69732,53005,72736,61874,70015,55669,52820,67325
29,Tampa Bay Buccaneers,937014,394513.0,542501.0,47211,72577,61036,Bye,63888,51759,42020,61857,67266,44264,69732,70989,53955,66124,47692,46576,70068
30,Tennessee Titans,1114265,553144.0,561121.0,69143,69143,78386,69143,90616,63625,69143,59260,Bye,65585,69143,70855,69143,69143,69143,65606,67188
31,Washington Redskins,1193756,665380.0,528376.0,90670,88240,52370,69144,87760,87883,62155,46329,Bye,84912,69143,83602,78861,66124,86904,63470,76189
32,,17140859,,,1090722,1104434,1079488,903278,962802,950860,968278,834202,855650,931535,1083416,1118733,1061260,1048134,1023907,1009930,1114230
