,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,1001663,489455.0,512208.0,60627,76330,66199,60496,62479,Bye,62475,71022,60628,69144,69732,56029,62180,60808,60443,41273,61798
1,Atlanta Falcons,1073420,551892.0,521528.0,62115,69608,46995,66266,69576,69047,63625,Bye,65218,70359,68164,68115,71545,72680,68856,73084,68167
2,Baltimore Ravens,1083902,569792.0,514110.0,71434,69143,56289,71247,Bye,71154,62976,71022,64851,66522,71320,71345,63648,71187,67242,71083,63439
3,Buffalo Bills,1032609,490443.0,542166.0,68755,68191,68174,41142,69803,79243,Bye,51579,70133,85157,57531,79088,56463,62494,60988,45112,68756
4,Carolina Panthers,1098587,578342.0,520245.0,60627,73167,71704,62135,72679,69047,73245,72095,Bye,72409,63633,63928,56270,72680,71540,70363,73065
5,Chicago Bears,1053343,497166.0,556177.0,62115,73019,62339,62135,67861,62322,76981,Bye,69144,62396,62344,59244,61973,76487,61542,70574,62867
6,Cincinnati Bengals,923005,394009.0,528996.0,67321,73281,43363,41142,61799,52068,Bye,66004,69143,63262,71320,48260,63697,41202,56431,41273,63439
7,Cleveland Browns,1030992,526874.0,504118.0,67321,65035,66651,66240,Bye,57300,66350,69732,71511,64900,63498,48260,63648,60754,60443,71083,68266
8,Dallas Cowboys,1258971,684096.0,574875.0,78702,69732,91017,78122,Bye,68756,80086,69144,81510,85157,80122,87418,62180,95952,65162,84834,81077
9,Denver Broncos,1109610,602618.0,506992.0,75671,73281,69143,70529,74895,Bye,63800,74977,58125,72908,74746,64436,62939,76487,76556,45112,76005
10,Detroit Lions,1041580,509940.0,531640.0,51274,60040,62466,78122,67861,62061,63625,74977,Bye,62396,63633,66263,73042,63988,59069,62469,70294
11,Green Bay Packers,1123023,564097.0,558926.0,70555,73167,62339,70529,69576,70604,63946,Bye,68908,70519,70498,66263,80634,70524,74093,70574,70294
12,Houston Texans,1059702,571969.0,487733.0,71444,51032,73002,71585,71420,71154,69143,71412,71511,56037,Bye,62004,71545,41202,71540,64159,71512
13,Indianapolis Colts,1050690,518627.0,532063.0,71444,65035,66309,63972,65088,52068,73012,69143,65218,64619,Bye,63928,68756,71187,64271,64159,62481
14,Jacksonville Jaguars,1049655,498655.0,551000.0,61619,78834,71704,62471,61799,62934,62976,71412,Bye,64619,63498,62004,62743,62562,68856,69143,62481
15,Kansas City Chiefs,1107206,576659.0,530547.0,68755,60040,62236,72931,65088,Bye,57361,72733,72263,72908,68756,72173,61973,79088,74093,70803,76005
16,Miami Dolphins,1064381,487089.0,577292.0,66860,51032,66651,63002,Bye,78912,63800,79302,72263,57007,57531,87418,57225,67823,60988,68756,65811
17,Minnesota Vikings,1047585,502529.0,545056.0,66716,62461,62466,72931,62479,62322,63946,72095,Bye,70519,62748,68115,62939,63988,62623,68370,62867
18,New England Patriots,1114691,550048.0,564643.0,66860,68756,68174,62572,68756,68756,Bye,64424,68756,79088,68756,69144,68756,77825,76556,68756,68756
19,New Orleans Saints,1105934,584335.0,521599.0,70555,73019,73002,62471,72679,56590,73012,57179,73043,70359,Bye,73068,73042,69143,62623,73084,73065
20,New York Giants,1232157,635800.0,596357.0,80121,78290,69144,60496,78650,79243,Bye,79302,68756,69732,79743,73068,80634,95952,78861,79088,81077
21,New York Jets,1187392,631888.0,555504.0,78702,78834,61546,71247,68756,78912,79088,Bye,70133,79088,74746,79088,74121,79088,69144,79088,65811
22,Oakland Raiders,1018629,473938.0,544691.0,75671,68191,61546,62572,71420,57300,57361,Bye,58125,68109,62748,59244,57225,70524,59069,70803,58721
23,Philadelphia Eagles,1129171,553152.0,576019.0,56722,69608,69144,69144,69803,80447,Bye,69144,69144,69144,79743,69144,67039,67823,69144,84834,69144
24,Pittsburgh Steelers,1049515,504279.0,545236.0,71434,63663,66309,71585,63875,62934,62475,64424,64851,63262,Bye,72173,63697,60754,69732,60081,68266
25,San Diego Chargers,1064892,523143.0,541749.0,66716,68756,62236,63002,74895,Bye,79088,72733,68908,68109,62344,64436,62743,62494,67242,62469,58721
26,San Francisco 49ers,1065296,557856.0,507440.0,69732,69732,43363,69144,69732,62061,Bye,69732,78032,69732,69732,71345,69732,60808,69732,66697,55990
27,Seattle Seahawks,1070956,531311.0,539645.0,69732,63663,66199,66266,78650,Bye,66350,66004,81510,66522,56400,66007,67039,66577,61542,66697,61798
28,St. Louis Rams,1002051,451153.0,550898.0,56722,78290,56289,56113,Bye,70604,80086,57179,60628,64900,56400,56029,69732,66577,56431,60081,55990
29,Tampa Bay Buccaneers,1019250,473281.0,545969.0,51274,62461,46995,63972,69732,56590,76981,Bye,73043,56037,70498,69143,56270,62562,65162,70363,68167
30,Tennessee Titans,1077697,553144.0,524553.0,61619,69143,69143,66240,63875,Bye,69143,69143,69143,72409,68164,69143,56463,69143,64271,69143,71512
31,Washington Redskins,1158341,615368.0,542973.0,80121,76330,91017,56113,Bye,80447,73245,51579,78032,57007,80122,66007,74121,77825,78861,68370,69144
32,,17252948,,,1079668,1100582,1036577,1037967,896613,871438,892088,888746,971265,1092168,949235,1075665,1052007,1099094,1066553,1065889,1077393
