,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,898877,327272.0,571605.0,85140,63104,28980,30014,72286,Bye,59702,67173,47819,29252,64990,58814,77809,28640,65939,44051,75164
1,Atlanta Falcons,1099147,550974.0,548173.0,63127,68081,68129,Bye,68936,78728,68056,67883,68532,62779,70382,72533,63947,65648,69551,69307,73528
2,Baltimore Ravens,1073464,554724.0,518740.0,70386,69304,Bye,69538,73688,56174,69173,69638,68532,69024,73013,69365,44878,69334,70108,69348,61961
3,Buffalo Bills,1119646,547702.0,571944.0,72751,64047,75359,72780,73038,70120,73180,72710,73448,Bye,77951,78745,73287,68436,61838,64106,47850
4,Carolina Panthers,1092895,572015.0,520880.0,70386,71951,63945,63329,72286,61773,68056,72892,Bye,72566,65527,72533,72718,66799,58586,72602,66946
5,Chicago Bears,1029316,487255.0,542061.0,63226,68081,63216,72780,63226,Bye,60421,64122,54049,63105,66250,62375,64196,73609,62226,72602,55832
6,Cincinnati Bengals,934265,422235.0,512030.0,53705,73358,68129,57234,56570,63900,Bye,52822,69827,69024,64060,60473,44878,66799,42092,43544,47850
7,Cleveland Browns,1110061,586294.0,523767.0,72938,73358,68804,62864,73688,65627,73248,78502,73718,Bye,64060,68295,72718,46267,73098,69348,73528
8,Dallas Cowboys,1047411,504717.0,542694.0,69604,62527,65537,66165,63447,61773,59702,63854,61789,Bye,57057,62204,63606,64097,78698,63209,84142
9,Denver Broncos,1161974,604904.0,557070.0,75710,67685,75359,69538,75065,75941,78446,68436,Bye,76643,65495,75075,66357,78521,75947,62592,75164
10,Detroit Lions,994267,489742.0,504525.0,72216,71951,61505,60023,Bye,64013,60421,72710,61789,63313,61720,62375,62109,28640,61942,69307,60233
11,Green Bay Packers,1046418,508788.0,537630.0,63127,67958,61505,63329,63226,68436,63363,Bye,63284,63313,64153,65672,64196,64070,67947,64106,78733
12,Houston Texans,1061722,559322.0,502400.0,69604,56098,69204,64867,Bye,70120,73248,53721,69827,68804,69711,70054,56820,58551,70108,70291,70694
13,Indianapolis Colts,1004762,453357.0,551405.0,56595,56650,69204,Bye,56570,56174,62800,80169,56752,65660,57057,75075,56820,68804,73098,56579,56755
14,Jacksonville Jaguars,975226,450216.0,525010.0,56595,77934,Bye,55670,65005,68804,69173,53721,78337,66665,69711,62204,55260,46267,42092,51033,56755
15,Kansas City Chiefs,1166177,625503.0,540674.0,72938,77934,68436,78178,78149,58995,78446,78685,Bye,67881,77951,56250,77809,78601,75947,77899,62078
16,Miami Dolphins,1144504,585523.0,558981.0,72216,56650,73426,78178,73369,75941,73180,Bye,63284,78920,73013,73138,73287,73609,73572,64285,68436
17,Minnesota Vikings,1045728,512517.0,533211.0,63226,64047,63945,65212,Bye,64013,78516,64122,65667,64005,64153,68436,63947,64070,67851,64285,60233
18,New England Patriots,1096069,547488.0,548581.0,68436,78726,68436,66463,73369,68436,Bye,68436,73448,63105,62552,68436,62109,68436,68809,68436,68436
19,New Orleans Saints,1068183,542796.0,525387.0,65554,67958,63216,60023,67734,80768,67903,67883,Bye,72566,70382,68295,68226,69334,67851,43544,66946
20,New York Giants,1123668,629211.0,494457.0,78748,65932,78551,30014,63447,78728,Bye,65791,78337,64005,78727,70054,78640,78635,78698,56579,78782
21,New York Jets,1145070,628812.0,516258.0,72751,78726,73426,55670,78149,Bye,78516,78502,59772,78920,61720,78745,62257,78521,62226,68436,78733
22,Oakland Raiders,1042142,485092.0,557050.0,53260,62260,Bye,58719,73038,66070,60974,78685,62660,76643,62552,58814,62257,67968,73572,62592,62078
23,Philadelphia Eagles,1066147,523535.0,542612.0,68804,84982,65537,64867,65005,Bye,65523,65791,54049,65660,64990,67919,65552,59862,65615,63209,78782
24,Pittsburgh Steelers,1023448,490274.0,533174.0,68436,62260,Bye,62864,67734,63900,62800,69638,73718,62779,68804,60473,55260,58551,58586,65684,61961
25,San Diego Chargers,992665,494973.0,497692.0,53705,56098,28980,66463,75065,58995,60974,Bye,59772,66093,67161,73138,66357,67968,61838,77899,52159
26,San Francisco 49ers,1058751,541593.0,517158.0,78748,67685,67541,Bye,67853,66420,67903,67173,62660,67881,67161,67919,67594,64097,67947,44051,66118
27,Seattle Seahawks,984773,504621.0,480152.0,53260,63104,78551,65212,Bye,66420,65931,63854,64325,29252,65495,56250,67594,59862,69551,63953,52159
28,St. Louis Rams,1073461,528498.0,544963.0,75710,65932,65652,66165,67853,66070,65931,Bye,47819,66093,66250,79823,65552,78601,65939,63953,66118
29,Tampa Bay Buccaneers,1044920,525031.0,519889.0,65554,69304,65652,57234,68936,65627,65523,72892,65667,Bye,65527,65672,68226,65648,61942,65684,55832
30,Tennessee Titans,1050989,550437.0,500552.0,68804,62527,68804,58719,68804,68804,Bye,52822,56752,68804,68804,69365,78640,68804,68809,51033,70694
31,Washington Redskins,1182596,643950.0,538646.0,85140,84982,67541,Bye,68804,80768,63363,80169,64325,66665,78727,79823,63606,78635,65615,70291,84142
32,,16979371,,,1090200,1090597,918285,871056,967170,945769,947236,956398,899979,914710,1077553,1089171,1043256,1037842,1063819,1006919,1059411
