,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,804401,288499.0,515902.0,60691,23127,58784,65758,63601,24193,Bye,40824,23531,59520,72908,42089,61550,66975,23217,64899,52734
1,Atlanta Falcons,1106928,563676.0,543252.0,64104,70241,70871,72765,70427,66075,70837,Bye,70064,78813,68432,70891,70388,70079,57103,65572,70266
2,Baltimore Ravens,1006929,556634.0,450295.0,63157,69473,52028,69459,Bye,24193,53553,69721,69486,66085,73333,69477,69549,69468,45398,72548,70001
3,Buffalo Bills,1152118,584122.0,567996.0,73262,58613,73458,73305,72615,77740,73149,78689,Bye,63770,72677,73004,78481,72791,68809,73319,68436
4,Carolina Panthers,1078988,582566.0,496422.0,72134,65621,Bye,72765,72496,57082,72851,68370,70052,73245,73263,63871,72977,70079,23217,72835,78130
5,Chicago Bears,1031247,479585.0,551662.0,67554,64144,Bye,60257,61099,68390,65671,61428,61500,61492,61820,75540,61550,70458,61804,50127,78413
6,Cincinnati Bengals,945592,479488.0,466104.0,63820,50135,64596,73428,72615,Bye,53553,52131,23531,50437,64923,52069,58797,69468,64666,66061,65362
7,Cleveland Browns,1139440,585564.0,553876.0,73358,69473,67412,73428,64595,73318,73238,68436,Bye,78560,72908,73658,64680,73108,75358,72548,65362
8,Dallas Cowboys,1071700,511224.0,560476.0,64104,78907,Bye,77863,63601,63648,61160,65602,64002,63770,68436,63871,64110,69773,70284,64118,68451
9,Denver Broncos,1134086,607167.0,526919.0,63820,65445,76753,75719,78903,75974,64381,69721,76203,Bye,75217,75540,57201,76403,75358,57149,70299
10,Detroit Lions,1045766,490442.0,555324.0,60691,70244,60865,75719,67365,Bye,61160,61428,61561,61492,65865,63946,62123,61544,77922,72835,61006
11,Green Bay Packers,1067556,562819.0,504737.0,70505,70244,58784,60257,70365,70407,66201,Bye,64482,70291,65614,70250,62123,70458,64978,62298,70299
12,Houston Texans,1061690,563748.0,497942.0,73010,68390,70487,70041,Bye,68809,70623,56132,70052,50437,72677,70719,70388,43363,65124,70758,70680
13,Indianapolis Colts,993951,454138.0,539813.0,73358,56999,55770,70020,65647,57082,Bye,56132,73258,45037,56801,73004,57102,68809,57103,57149,70680
14,Jacksonville Jaguars,980628,428072.0,552556.0,72134,58613,55770,70041,48954,66437,Bye,55918,69486,45037,68809,77614,60543,43363,68436,49207,70266
15,Kansas City Chiefs,1163872,627840.0,536032.0,78048,78416,70487,69459,78903,70407,62391,78689,Bye,78560,64923,78889,57671,76403,77922,64291,78413
16,Miami Dolphins,1158236,587787.0,570449.0,73010,77461,73458,Bye,78863,66437,73650,73014,73258,68809,73333,73578,64110,68436,73780,73319,73720
17,Minnesota Vikings,1017297,513437.0,503860.0,70505,64144,60865,64111,70427,Bye,64381,64114,64482,64738,56653,63946,66134,63968,61804,64291,52734
18,New England Patriots,1127515,547488.0,580027.0,73262,67624,68436,83632,68436,68436,73650,68436,76203,Bye,68436,70719,57102,68436,68436,77835,68436
19,New Orleans Saints,1072640,548894.0,523746.0,52250,68390,68809,70020,72496,68390,70837,68370,65524,Bye,68432,67802,76821,68442,68399,49207,68451
20,New York Giants,1190530,628960.0,561570.0,78666,78907,84856,Bye,78863,68436,78883,64114,78132,78813,67867,65648,78481,78217,68399,64118,78130
21,New York Jets,1169808,622255.0,547553.0,85420,77461,68436,77863,Bye,77740,70623,67853,78132,51909,56801,77614,77710,72791,77900,77835,73720
22,Oakland Raiders,975793,440063.0,535730.0,68809,50135,76753,54078,61099,73318,62391,Bye,61561,51909,56653,78889,57201,53079,45398,62298,62222
23,Philadelphia Eagles,1124063,544349.0,579714.0,67772,67624,Bye,73305,67792,63648,78883,67853,70064,70291,67867,67802,72977,69773,73780,67866,76766
24,Pittsburgh Steelers,1052513,477584.0,574929.0,63157,78416,64596,63244,64595,75974,Bye,62665,66507,59520,67877,73658,58797,53079,77900,52527,70001
25,San Diego Chargers,997271,492165.0,505106.0,78048,65445,52028,54078,48954,Bye,73238,73014,61500,64738,75217,52069,57671,61544,64978,52527,62222
26,San Francisco 49ers,1050337,540644.0,509693.0,67554,65990,67412,64111,67365,66437,67809,40824,67812,Bye,67877,70250,69549,66975,64666,67866,67840
27,Seattle Seahawks,1005938,512150.0,493788.0,52250,23127,65841,Bye,70365,66437,65671,52131,66507,80728,65865,69477,64680,63968,66152,64899,67840
28,St. Louis Rams,1041463,528456.0,513007.0,78666,65990,65841,65758,Bye,66075,66201,62665,67812,66085,61820,42089,66134,73108,66152,66061,61006
29,Tampa Bay Buccaneers,1087333,524352.0,562981.0,67772,65621,70871,Bye,65647,85490,67809,65602,65524,73245,65614,65648,60543,68442,65124,65572,68809
30,Tennessee Titans,1087279,550472.0,536807.0,68809,56999,68809,63244,68436,68809,72851,55918,Bye,68809,68809,70891,77710,68809,68809,70758,68809
31,Washington Redskins,1194366,643997.0,550369.0,85420,70241,84856,83632,67792,85490,73149,Bye,64002,80728,73263,73578,76821,78217,70284,50127,76766
32,,17068637,,,1112560,1030830,938966,973680,951158,932436,954397,884897,912114,913434,1080495,1089045,1055837,1074913,1029330,1031410,1103135
