,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,1053326,495835.0,557491.0,61292,78344,61572,Bye,76895,61139,52101,61789,85688,61363,62487,68327,69557,62387,55880,63806,70699
1,Atlanta Falcons,1121026,577047.0,543979.0,70706,58574,70318,52173,80307,70712,71184,83532,Bye,57751,73314,70046,69557,77512,71161,73164,71015
2,Baltimore Ravens,1096129,568353.0,527776.0,70925,71181,67407,71218,65258,60041,71184,55711,63971,70914,Bye,73373,71060,70244,70801,71771,71070
3,Buffalo Bills,1085974,540180.0,545794.0,62425,69954,68611,71756,62775,70185,68477,78160,Bye,68119,71573,56044,68576,76913,70214,53436,68756
4,Carolina Panthers,1123313,588861.0,534452.0,62442,73586,73945,71218,73659,57053,78106,74042,73663,69596,73314,Bye,52016,73006,72842,73810,71015
5,Chicago Bears,1050366,493449.0,556917.0,62425,70799,78160,61736,73659,70712,62413,68756,Bye,78292,61792,61109,64175,61558,60996,61420,52364
6,Cincinnati Bengals,1025166,485628.0,539538.0,70925,58574,56743,Bye,68756,57053,66539,55711,60057,65871,73073,71777,56340,65512,67431,66107,64697
7,Cleveland Browns,1083855,539400.0,544455.0,64598,67407,67407,Bye,69143,67431,61341,67431,67431,65871,67431,70046,68576,67431,67431,73810,71070
8,Dallas Cowboys,1293046,720558.0,572488.0,91174,69143,58739,91176,91159,68432,91028,87055,85688,83603,Bye,80520,91379,61558,69596,91899,80897
9,Denver Broncos,1156767,615517.0,541250.0,76939,76900,68447,Bye,76895,78160,77047,76907,68756,54803,59401,76987,76894,76913,68682,66107,76929
10,Detroit Lions,1062760,504198.0,558562.0,64401,73586,62418,78160,62775,52213,63271,83532,Bye,63179,62487,68756,64175,61489,62490,61420,78408
11,Green Bay Packers,1148560,625114.0,523446.0,68424,78041,62418,61736,78054,70875,78106,73146,Bye,78292,78270,52386,78431,77512,70214,64247,78408
12,Houston Texans,1115983,574132.0,541851.0,71770,54063,77462,71756,91159,71787,56375,69143,71780,Bye,67431,71777,71714,61070,65148,71771,71777
13,Indianapolis Colts,1101258,523004.0,578254.0,76939,64871,60601,64757,65258,71787,66539,62479,77975,Bye,66751,64328,65352,67431,65148,91899,69143
14,Jacksonville Jaguars,1066627,524335.0,542292.0,69596,80037,60601,56553,66198,69143,61341,65633,60057,83603,Bye,64328,64687,61070,70801,61202,71777
15,Kansas City Chiefs,1127251,599743.0,527508.0,73569,76900,70313,76613,70799,Bye,65260,75972,74127,68119,76463,52865,76894,62387,72153,60865,73952
16,Miami Dolphins,1128798,560280.0,568518.0,70630,69954,70313,83436,Bye,70875,62413,65633,70222,63179,71573,76987,78160,70244,68756,66203,70220
17,Minnesota Vikings,940423,417906.0,522517.0,55919,52350,73005,52173,78054,52213,68477,56577,52252,Bye,61792,52386,52016,52152,62490,66203,52364
18,New England Patriots,1111983,550048.0,561935.0,70630,52350,68756,76613,68756,70185,68756,68756,68756,Bye,66751,68756,78431,68815,68756,78160,68756
19,New Orleans Saints,1133987,584900.0,549087.0,70706,67407,73005,91176,73004,Bye,63271,73146,73663,73129,73073,73373,61916,73006,60996,73164,59952
20,New York Giants,1195369,631738.0,563631.0,64401,78344,77462,80573,80307,69596,91028,Bye,77975,68352,80352,80520,64687,69143,77628,55851,79150
21,New York Jets,1157234,625280.0,531954.0,78160,78041,78160,78160,63471,78160,68756,78160,74127,78160,Bye,56044,78160,52152,69143,78160,70220
22,Oakland Raiders,1013469,459333.0,554136.0,78160,54063,68756,83436,Bye,53329,52101,67431,68337,54803,66720,52865,55650,55300,72153,53436,76929
23,Philadelphia Eagles,1153703,556768.0,596935.0,69596,64871,69596,70799,69596,69596,Bye,61789,71780,69596,78270,69596,91379,69596,69596,78897,79150
24,Pittsburgh Steelers,1060542,497811.0,562731.0,64598,71181,73945,62910,66198,67431,56375,62479,63971,78160,69143,Bye,61916,65512,71161,60865,64697
25,San Diego Chargers,1069529,523457.0,546072.0,61292,67916,68611,56553,63471,53329,65260,76907,70222,Bye,66720,66040,71060,68815,68682,70699,73952
26,San Francisco 49ers,1130143,566192.0,563951.0,91174,70799,61572,70799,70799,56851,77047,Bye,70799,73129,80352,70799,70799,55300,68526,70699,70699
27,Seattle Seahawks,1107297,547298.0,559999.0,68424,67916,68447,Bye,79522,68432,57855,74042,68337,68352,76463,68327,70799,69596,68526,63806,68453
28,St. Louis Rams,999412,456146.0,543266.0,55919,59923,58739,Bye,69596,56851,57855,75972,70799,61363,59401,66040,55650,71120,55880,55851,68453
29,Tampa Bay Buccaneers,1023818,477273.0,546545.0,62442,59923,70318,62910,73004,60041,Bye,56577,67431,57751,77442,61109,56340,61489,72842,64247,59952
30,Tennessee Titans,1096866,553144.0,543722.0,73569,69143,56743,64757,69143,69143,75227,69143,Bye,70914,69143,69596,71714,69143,69143,61202,69143
31,Washington Redskins,1179306,623715.0,555591.0,71770,80037,69596,80573,79522,61139,75227,87055,52252,Bye,77442,70799,65352,71120,77628,78897,80897
32,,17606643,,,1112970,1093089,1086093,921860,1088596,976947,1014980,1056333,905058,893132,984212,1002953,1096706,1063248,1091447,1091537,1127482
