,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
0,ARI,2036216,25138,26.7,26.4,107,107,0,1,12,"$78,399,500",3:14,37,22,59%,Hale
1,ATL,2020914,24950,28.9,26.4,98,99,0,1,12,"$74,999,750",3:08,42,18,42%,Gonzalez and Snitker
2,BAL,2172344,26819,28.5,27.9,102,102,0,5,16,"$153,744,833",3:00,39,20,51%,Showalter
3,BOS,2955434,36487,28.5,29.0,106,106,0,6,16,"$218,682,750",3:12,46,20,43%,Farrell
4,CHC,3232420,39906,27.4,29.9,101,100,0,7,17,"$176,097,333",3:05,42,21,50%,Maddon
5,CHW,1746293,21559,28.3,28.6,96,96,0,2,13,"$113,416,000",3:03,39,20,51%,Ventura
6,CIN,1894085,23384,27.8,27.1,101,102,0,2,9,"$77,329,561",3:04,51,25,49%,Price
7,CLE,1591667,19650,29.0,28.1,109,107,0,3,13,"$94,511,067",3:03,49,28,57%,Francona
8,COL,2602524,32130,27.8,27.7,116,116,0,2,6,"$89,707,000",3:11,54,32,59%,Weiss
9,DET,2493859,31173,30.0,29.0,100,101,0,1,13,"$199,902,000",3:05,34,19,55%,Ausmus
10,HOU,2306623,28477,26.4,28.9,94,93,0,2,11,"$89,498,000",3:04,37,16,43%,Hinch
11,KCR,2557712,31577,28.5,29.9,102,102,0,4,14,"$125,132,675",2:59,37,25,67%,Yost
12,LAA,3016142,37236,28.5,28.4,95,95,0,1,8,"$139,712,000",3:04,38,21,55%,Scioscia
13,LAD,3703312,45720,28.9,28.9,97,96,0,3,17,"$231,342,096",3:10,35,19,54%,Roberts
14,MIA,1712417,21405,28.3,28.0,93,94,0,4,11,"$72,472,000",3:05,53,34,64%,Mattingly
15,MIL,2314614,28575,27.5,28.1,102,102,0,1,8,"$52,077,500",3:08,47,22,46%,Counsell
16,MIN,1963912,24246,26.9,28.3,100,100,0,1,13,"$93,333,700",3:05,28,17,60%,Molitor
17,NYM,2789602,34440,29.5,28.4,96,96,0,4,12,"$155,221,282",3:05,28,18,64%,Collins
18,NYY,3063405,37820,30.1,27.9,103,102,0,3,19,"$193,229,350",3:03,28,18,64%,Girardi
19,OAK,1521506,18784,28.7,27.9,96,97,0,1,8,"$54,969,067",2:56,34,22,64%,Melvin
20,PHI,1915144,23644,26.9,26.3,99,100,0,1,6,"$84,846,666",3:03,46,26,56%,Mackanin
21,PIT,2249201,27768,28.9,28.6,99,99,0,2,14,"$81,187,933",3:11,55,25,45%,Hurdle
22,SDP,2351422,29030,28.1,28.1,95,95,0,2,11,"$50,656,166",3:06,57,27,47%,Green
23,SEA,2267928,27999,30.5,28.8,96,96,0,1,9,"$137,169,100",3:02,37,22,59%,Servais
24,SFG,3365256,41546,29.1,30.0,96,96,0,4,15,"$177,021,333",3:10,49,31,63%,Bochy
25,STL,3444490,42525,28.5,28.0,98,97,0,2,12,"$150,353,500",3:01,54,28,51%,Matheny
26,TBR,1286163,15879,27.7,26.9,95,95,0,1,9,"$48,223,791",3:01,49,29,59%,Cash
27,TEX,2710402,33462,28.4,28.8,107,108,0,2,13,"$212,117,760",3:00,51,23,45%,Banister
28,TOR,3392099,41878,30.1,29.8,102,101,0,5,17,"$182,690,767",3:00,49,19,38%,Gibbons
29,WSN,2481938,30641,28.8,29.1,103,102,0,5,14,"$152,967,400",3:08,47,19,40%,Baker
